H2TerminalNodes,H2Terminals,Period,CapitalCost_(EUR/ton/h)
Spain,PipelineH2Import,1,9999999999999.0
Spain,PipelineH2Import,2,21851421.428571433
Spain,PipelineH2Import,3,21438276.190476198
Spain,PipelineH2Import,4,21025130.952380963
Spain,PipelineH2Import,5,20611985.714285724
Spain,PipelineH2Import,6,20198840.47619049
Spain,PipelineH2Import,7,19785695.238095254
Italy,PipelineH2Import,1,9999999999999.0
Italy,PipelineH2Import,2,34059535.714285724
Italy,PipelineH2Import,3,33415571.42857144
Italy,PipelineH2Import,4,32771607.142857157
Italy,PipelineH2Import,5,32127642.857142873
Italy,PipelineH2Import,6,31483678.571428593
Italy,PipelineH2Import,7,30839714.28571431
Greece,PipelineH2Import,1,9999999999999.0
Greece,PipelineH2Import,2,34932857.14285715
Greece,PipelineH2Import,3,34272380.95238096
Greece,PipelineH2Import,4,33611904.761904776
Greece,PipelineH2Import,5,32951428.57142859
Greece,PipelineH2Import,6,32290952.380952403
Greece,PipelineH2Import,7,31630476.190476216
Belgium,LH2Import,1,9999999999999.0
Belgium,LH2Import,2,21631111.8
Belgium,LH2Import,3,21631111.8
Belgium,LH2Import,4,21631111.8
Belgium,LH2Import,5,21631111.8
Belgium,LH2Import,6,21631111.8
Belgium,LH2Import,7,21631111.8
Croatia,LH2Import,1,9999999999999.0
Croatia,LH2Import,2,21631111.8
Croatia,LH2Import,3,21631111.8
Croatia,LH2Import,4,21631111.8
Croatia,LH2Import,5,21631111.8
Croatia,LH2Import,6,21631111.8
Croatia,LH2Import,7,21631111.8
Estonia,LH2Import,1,9999999999999.0
Estonia,LH2Import,2,21631111.8
Estonia,LH2Import,3,21631111.8
Estonia,LH2Import,4,21631111.8
Estonia,LH2Import,5,21631111.8
Estonia,LH2Import,6,21631111.8
Estonia,LH2Import,7,21631111.8
France,LH2Import,1,9999999999999.0
France,LH2Import,2,21631111.8
France,LH2Import,3,21631111.8
France,LH2Import,4,21631111.8
France,LH2Import,5,21631111.8
France,LH2Import,6,21631111.8
France,LH2Import,7,21631111.8
Germany,LH2Import,1,9999999999999.0
Germany,LH2Import,2,21631111.8
Germany,LH2Import,3,21631111.8
Germany,LH2Import,4,21631111.8
Germany,LH2Import,5,21631111.8
Germany,LH2Import,6,21631111.8
Germany,LH2Import,7,21631111.8
GreatBrit.,LH2Import,1,9999999999999.0
GreatBrit.,LH2Import,2,21631111.8
GreatBrit.,LH2Import,3,21631111.8
GreatBrit.,LH2Import,4,21631111.8
GreatBrit.,LH2Import,5,21631111.8
GreatBrit.,LH2Import,6,21631111.8
GreatBrit.,LH2Import,7,21631111.8
Greece,LH2Import,1,9999999999999.0
Greece,LH2Import,2,21631111.8
Greece,LH2Import,3,21631111.8
Greece,LH2Import,4,21631111.8
Greece,LH2Import,5,21631111.8
Greece,LH2Import,6,21631111.8
Greece,LH2Import,7,21631111.8
Ireland,LH2Import,1,9999999999999.0
Ireland,LH2Import,2,21631111.8
Ireland,LH2Import,3,21631111.8
Ireland,LH2Import,4,21631111.8
Ireland,LH2Import,5,21631111.8
Ireland,LH2Import,6,21631111.8
Ireland,LH2Import,7,21631111.8
Lithuania,LH2Import,1,9999999999999.0
Lithuania,LH2Import,2,21631111.8
Lithuania,LH2Import,3,21631111.8
Lithuania,LH2Import,4,21631111.8
Lithuania,LH2Import,5,21631111.8
Lithuania,LH2Import,6,21631111.8
Lithuania,LH2Import,7,21631111.8
Netherlands,LH2Import,1,9999999999999.0
Netherlands,LH2Import,2,21631111.8
Netherlands,LH2Import,3,21631111.8
Netherlands,LH2Import,4,21631111.8
Netherlands,LH2Import,5,21631111.8
Netherlands,LH2Import,6,21631111.8
Netherlands,LH2Import,7,21631111.8
Poland,LH2Import,1,9999999999999.0
Poland,LH2Import,2,21631111.8
Poland,LH2Import,3,21631111.8
Poland,LH2Import,4,21631111.8
Poland,LH2Import,5,21631111.8
Poland,LH2Import,6,21631111.8
Poland,LH2Import,7,21631111.8
Portugal,LH2Import,1,9999999999999.0
Portugal,LH2Import,2,21631111.8
Portugal,LH2Import,3,21631111.8
Portugal,LH2Import,4,21631111.8
Portugal,LH2Import,5,21631111.8
Portugal,LH2Import,6,21631111.8
Portugal,LH2Import,7,21631111.8
Romania,LH2Import,1,9999999999999.0
Romania,LH2Import,2,21631111.8
Romania,LH2Import,3,21631111.8
Romania,LH2Import,4,21631111.8
Romania,LH2Import,5,21631111.8
Romania,LH2Import,6,21631111.8
Romania,LH2Import,7,21631111.8
Italy,LH2Import,1,9999999999999.0
Italy,LH2Import,2,21631111.8
Italy,LH2Import,3,21631111.8
Italy,LH2Import,4,21631111.8
Italy,LH2Import,5,21631111.8
Italy,LH2Import,6,21631111.8
Italy,LH2Import,7,21631111.8
Spain,LH2Import,1,9999999999999.0
Spain,LH2Import,2,21631111.8
Spain,LH2Import,3,21631111.8
Spain,LH2Import,4,21631111.8
Spain,LH2Import,5,21631111.8
Spain,LH2Import,6,21631111.8
Spain,LH2Import,7,21631111.8
