H2TerminalNodes,H2Terminals,Period,FixedOM_(EUR/ton/h)
Spain,PipelineH2Import,1,199999999999.98
Spain,PipelineH2Import,2,437028.42857142864
Spain,PipelineH2Import,3,428765.52380952396
Spain,PipelineH2Import,4,420502.6190476193
Spain,PipelineH2Import,5,412239.7142857145
Spain,PipelineH2Import,6,403976.80952380976
Spain,PipelineH2Import,7,395713.9047619051
Italy,PipelineH2Import,1,199999999999.98
Italy,PipelineH2Import,2,681190.7142857144
Italy,PipelineH2Import,3,668311.4285714289
Italy,PipelineH2Import,4,655432.1428571432
Italy,PipelineH2Import,5,642552.8571428575
Italy,PipelineH2Import,6,629673.5714285718
Italy,PipelineH2Import,7,616794.2857142863
Greece,PipelineH2Import,1,199999999999.98
Greece,PipelineH2Import,2,698657.142857143
Greece,PipelineH2Import,3,685447.6190476193
Greece,PipelineH2Import,4,672238.0952380955
Greece,PipelineH2Import,5,659028.5714285718
Greece,PipelineH2Import,6,645819.047619048
Greece,PipelineH2Import,7,632609.5238095244
Belgium,LH2Import,1,399999999999.96
Belgium,LH2Import,2,865244.4720000001
Belgium,LH2Import,3,865244.4720000001
Belgium,LH2Import,4,865244.4720000001
Belgium,LH2Import,5,865244.4720000001
Belgium,LH2Import,6,865244.4720000001
Belgium,LH2Import,7,865244.4720000001
Croatia,LH2Import,1,399999999999.96
Croatia,LH2Import,2,865244.4720000001
Croatia,LH2Import,3,865244.4720000001
Croatia,LH2Import,4,865244.4720000001
Croatia,LH2Import,5,865244.4720000001
Croatia,LH2Import,6,865244.4720000001
Croatia,LH2Import,7,865244.4720000001
Estonia,LH2Import,1,399999999999.96
Estonia,LH2Import,2,865244.4720000001
Estonia,LH2Import,3,865244.4720000001
Estonia,LH2Import,4,865244.4720000001
Estonia,LH2Import,5,865244.4720000001
Estonia,LH2Import,6,865244.4720000001
Estonia,LH2Import,7,865244.4720000001
France,LH2Import,1,399999999999.96
France,LH2Import,2,865244.4720000001
France,LH2Import,3,865244.4720000001
France,LH2Import,4,865244.4720000001
France,LH2Import,5,865244.4720000001
France,LH2Import,6,865244.4720000001
France,LH2Import,7,865244.4720000001
Germany,LH2Import,1,399999999999.96
Germany,LH2Import,2,865244.4720000001
Germany,LH2Import,3,865244.4720000001
Germany,LH2Import,4,865244.4720000001
Germany,LH2Import,5,865244.4720000001
Germany,LH2Import,6,865244.4720000001
Germany,LH2Import,7,865244.4720000001
GreatBrit.,LH2Import,1,399999999999.96
GreatBrit.,LH2Import,2,865244.4720000001
GreatBrit.,LH2Import,3,865244.4720000001
GreatBrit.,LH2Import,4,865244.4720000001
GreatBrit.,LH2Import,5,865244.4720000001
GreatBrit.,LH2Import,6,865244.4720000001
GreatBrit.,LH2Import,7,865244.4720000001
Greece,LH2Import,1,399999999999.96
Greece,LH2Import,2,865244.4720000001
Greece,LH2Import,3,865244.4720000001
Greece,LH2Import,4,865244.4720000001
Greece,LH2Import,5,865244.4720000001
Greece,LH2Import,6,865244.4720000001
Greece,LH2Import,7,865244.4720000001
Ireland,LH2Import,1,399999999999.96
Ireland,LH2Import,2,865244.4720000001
Ireland,LH2Import,3,865244.4720000001
Ireland,LH2Import,4,865244.4720000001
Ireland,LH2Import,5,865244.4720000001
Ireland,LH2Import,6,865244.4720000001
Ireland,LH2Import,7,865244.4720000001
Lithuania,LH2Import,1,399999999999.96
Lithuania,LH2Import,2,865244.4720000001
Lithuania,LH2Import,3,865244.4720000001
Lithuania,LH2Import,4,865244.4720000001
Lithuania,LH2Import,5,865244.4720000001
Lithuania,LH2Import,6,865244.4720000001
Lithuania,LH2Import,7,865244.4720000001
Netherlands,LH2Import,1,399999999999.96
Netherlands,LH2Import,2,865244.4720000001
Netherlands,LH2Import,3,865244.4720000001
Netherlands,LH2Import,4,865244.4720000001
Netherlands,LH2Import,5,865244.4720000001
Netherlands,LH2Import,6,865244.4720000001
Netherlands,LH2Import,7,865244.4720000001
Poland,LH2Import,1,399999999999.96
Poland,LH2Import,2,865244.4720000001
Poland,LH2Import,3,865244.4720000001
Poland,LH2Import,4,865244.4720000001
Poland,LH2Import,5,865244.4720000001
Poland,LH2Import,6,865244.4720000001
Poland,LH2Import,7,865244.4720000001
Portugal,LH2Import,1,399999999999.96
Portugal,LH2Import,2,865244.4720000001
Portugal,LH2Import,3,865244.4720000001
Portugal,LH2Import,4,865244.4720000001
Portugal,LH2Import,5,865244.4720000001
Portugal,LH2Import,6,865244.4720000001
Portugal,LH2Import,7,865244.4720000001
Romania,LH2Import,1,399999999999.96
Romania,LH2Import,2,865244.4720000001
Romania,LH2Import,3,865244.4720000001
Romania,LH2Import,4,865244.4720000001
Romania,LH2Import,5,865244.4720000001
Romania,LH2Import,6,865244.4720000001
Romania,LH2Import,7,865244.4720000001
Italy,LH2Import,1,399999999999.96
Italy,LH2Import,2,865244.4720000001
Italy,LH2Import,3,865244.4720000001
Italy,LH2Import,4,865244.4720000001
Italy,LH2Import,5,865244.4720000001
Italy,LH2Import,6,865244.4720000001
Italy,LH2Import,7,865244.4720000001
Spain,LH2Import,1,399999999999.96
Spain,LH2Import,2,865244.4720000001
Spain,LH2Import,3,865244.4720000001
Spain,LH2Import,4,865244.4720000001
Spain,LH2Import,5,865244.4720000001
Spain,LH2Import,6,865244.4720000001
Spain,LH2Import,7,865244.4720000001
