H2TerminalNodes,H2Terminals,Period,Potential_(tons)
Spain,PipelineH2Import,1,0.0
Spain,PipelineH2Import,2,675675.6756756757
Spain,PipelineH2Import,3,2815315.3153153155
Spain,PipelineH2Import,4,4954954.954954955
Spain,PipelineH2Import,5,9984984.984984986
Spain,PipelineH2Import,6,15015015.015015017
Spain,PipelineH2Import,7,15015015.015015017
Italy,PipelineH2Import,1,0.0
Italy,PipelineH2Import,2,675675.6756756757
Italy,PipelineH2Import,3,2815315.3153153155
Italy,PipelineH2Import,4,4954954.954954955
Italy,PipelineH2Import,5,9984984.984984986
Italy,PipelineH2Import,6,15015015.015015017
Italy,PipelineH2Import,7,15015015.015015017
