H2TerminalNodes,H2Terminals,Period,Cost_(EUR/kg)
Spain,PipelineH2Import,1,999999.0
Spain,PipelineH2Import,2,2.7388080477634116
Spain,PipelineH2Import,3,2.4235573387536395
Spain,PipelineH2Import,4,2.108306629743868
Spain,PipelineH2Import,5,1.9430559207340958
Spain,PipelineH2Import,6,1.777805211724324
Spain,PipelineH2Import,7,1.612554502714552
Italy,PipelineH2Import,1,999999.0
Italy,PipelineH2Import,2,2.7388080477634116
Italy,PipelineH2Import,3,2.4235573387536395
Italy,PipelineH2Import,4,2.108306629743868
Italy,PipelineH2Import,5,1.9430559207340958
Italy,PipelineH2Import,6,1.777805211724324
Italy,PipelineH2Import,7,1.612554502714552
Greece,PipelineH2Import,1,999999.0
Greece,PipelineH2Import,2,2.856113311904296
Greece,PipelineH2Import,3,2.5370479734507825
Greece,PipelineH2Import,4,2.21798263499727
Greece,PipelineH2Import,5,2.053917296543757
Greece,PipelineH2Import,6,1.8898519580902442
Greece,PipelineH2Import,7,1.725786619636731
Belgium,LH2Import,1,999999.0
Belgium,LH2Import,2,3.4666303702015484
Belgium,LH2Import,3,3.1766303702015484
Belgium,LH2Import,4,2.8866303702015483
Belgium,LH2Import,5,2.7132970368682154
Belgium,LH2Import,6,2.539963703534882
Belgium,LH2Import,7,2.3666303702015488
Croatia,LH2Import,1,999999.0
Croatia,LH2Import,2,3.4666303702015484
Croatia,LH2Import,3,3.1766303702015484
Croatia,LH2Import,4,2.8866303702015483
Croatia,LH2Import,5,2.7132970368682154
Croatia,LH2Import,6,2.539963703534882
Croatia,LH2Import,7,2.3666303702015488
Estonia,LH2Import,1,999999.0
Estonia,LH2Import,2,3.4666303702015484
Estonia,LH2Import,3,3.1766303702015484
Estonia,LH2Import,4,2.8866303702015483
Estonia,LH2Import,5,2.7132970368682154
Estonia,LH2Import,6,2.539963703534882
Estonia,LH2Import,7,2.3666303702015488
France,LH2Import,1,999999.0
France,LH2Import,2,3.4666303702015484
France,LH2Import,3,3.1766303702015484
France,LH2Import,4,2.8866303702015483
France,LH2Import,5,2.7132970368682154
France,LH2Import,6,2.539963703534882
France,LH2Import,7,2.3666303702015488
Germany,LH2Import,1,999999.0
Germany,LH2Import,2,3.4666303702015484
Germany,LH2Import,3,3.1766303702015484
Germany,LH2Import,4,2.8866303702015483
Germany,LH2Import,5,2.7132970368682154
Germany,LH2Import,6,2.539963703534882
Germany,LH2Import,7,2.3666303702015488
GreatBrit.,LH2Import,1,999999.0
GreatBrit.,LH2Import,2,3.4666303702015484
GreatBrit.,LH2Import,3,3.1766303702015484
GreatBrit.,LH2Import,4,2.8866303702015483
GreatBrit.,LH2Import,5,2.7132970368682154
GreatBrit.,LH2Import,6,2.539963703534882
GreatBrit.,LH2Import,7,2.3666303702015488
Greece,LH2Import,1,999999.0
Greece,LH2Import,2,3.4666303702015484
Greece,LH2Import,3,3.1766303702015484
Greece,LH2Import,4,2.8866303702015483
Greece,LH2Import,5,2.7132970368682154
Greece,LH2Import,6,2.539963703534882
Greece,LH2Import,7,2.3666303702015488
Ireland,LH2Import,1,999999.0
Ireland,LH2Import,2,3.4666303702015484
Ireland,LH2Import,3,3.1766303702015484
Ireland,LH2Import,4,2.8866303702015483
Ireland,LH2Import,5,2.7132970368682154
Ireland,LH2Import,6,2.539963703534882
Ireland,LH2Import,7,2.3666303702015488
Lithuania,LH2Import,1,999999.0
Lithuania,LH2Import,2,3.4666303702015484
Lithuania,LH2Import,3,3.1766303702015484
Lithuania,LH2Import,4,2.8866303702015483
Lithuania,LH2Import,5,2.7132970368682154
Lithuania,LH2Import,6,2.539963703534882
Lithuania,LH2Import,7,2.3666303702015488
Netherlands,LH2Import,1,999999.0
Netherlands,LH2Import,2,3.4666303702015484
Netherlands,LH2Import,3,3.1766303702015484
Netherlands,LH2Import,4,2.8866303702015483
Netherlands,LH2Import,5,2.7132970368682154
Netherlands,LH2Import,6,2.539963703534882
Netherlands,LH2Import,7,2.3666303702015488
Poland,LH2Import,1,999999.0
Poland,LH2Import,2,3.4666303702015484
Poland,LH2Import,3,3.1766303702015484
Poland,LH2Import,4,2.8866303702015483
Poland,LH2Import,5,2.7132970368682154
Poland,LH2Import,6,2.539963703534882
Poland,LH2Import,7,2.3666303702015488
Portugal,LH2Import,1,999999.0
Portugal,LH2Import,2,3.4666303702015484
Portugal,LH2Import,3,3.1766303702015484
Portugal,LH2Import,4,2.8866303702015483
Portugal,LH2Import,5,2.7132970368682154
Portugal,LH2Import,6,2.539963703534882
Portugal,LH2Import,7,2.3666303702015488
Romania,LH2Import,1,999999.0
Romania,LH2Import,2,3.4666303702015484
Romania,LH2Import,3,3.1766303702015484
Romania,LH2Import,4,2.8866303702015483
Romania,LH2Import,5,2.7132970368682154
Romania,LH2Import,6,2.539963703534882
Romania,LH2Import,7,2.3666303702015488
Italy,LH2Import,1,999999.0
Italy,LH2Import,2,3.4666303702015484
Italy,LH2Import,3,3.1766303702015484
Italy,LH2Import,4,2.8866303702015483
Italy,LH2Import,5,2.7132970368682154
Italy,LH2Import,6,2.539963703534882
Italy,LH2Import,7,2.3666303702015488
Spain,LH2Import,1,999999.0
Spain,LH2Import,2,3.4666303702015484
Spain,LH2Import,3,3.1766303702015484
Spain,LH2Import,4,2.8866303702015483
Spain,LH2Import,5,2.7132970368682154
Spain,LH2Import,6,2.539963703534882
Spain,LH2Import,7,2.3666303702015488
