Node,AmmoniaPlant,Capacity_(ton/hr)
Germany,NG-Ammonia,392.4657534246575
Poland,NG-Ammonia,366.4383561643835
Netherlands,NG-Ammonia,310.1598173515982
Romania,NG-Ammonia,248.4018264840183
France,NG-Ammonia,170.662100456621
Lithuania,NG-Ammonia,127.6255707762557
Bulgaria,NG-Ammonia,127.6255707762557
GreatBrit.,NG-Ammonia,125.5707762557078
Belgium,NG-Ammonia,116.4383561643836
Spain,NG-Ammonia,69.52054794520548
Italy,NG-Ammonia,68.4931506849315
Austria,NG-Ammonia,55.36529680365297
Slovakia,NG-Ammonia,48.97260273972603
Hungary,NG-Ammonia,43.72146118721462
CzechR,NG-Ammonia,39.95433789954338
Estonia,NG-Ammonia,22.8310502283105
Greece,NG-Ammonia,18.83561643835617
