Node,Period,Yearly_production_(tons/yr)
Austria,1,494319.249038116
Belgium,1,1062786.3854319495
Bulgaria,1,386804.8123723258
CzechR,1,222443.66206715218
Estonia,1,43252.93429083515
France,1,1259525.44654912
Germany,1,3089495.3064882252
GreatBrit.,1,1038070.4229800438
Greece,1,147059.97658883952
Hungary,1,407813.38045644574
Italy,1,704404.9298793153
Lithuania,1,1082559.155393474
Netherlands,1,2842335.6819691677
Poland,1,2718755.8697096384
Romania,1,617899.0612976451
Slovakia,1,481961.26781216316
Spain,1,494319.249038116
Croatia,1,463424.29597323376
Finland,1,96392.25356243261
NO5,1,305899.5814952856
Austria,2,502424.28382579534
Belgium,2,1080212.2102254601
Bulgaria,2,393147.0020936848
CzechR,2,226090.92772160788
Estonia,2,43962.12483475709
France,2,1280177.0751881266
Germany,2,3140151.7739112205
GreatBrit.,2,1055090.9960341703
Greece,2,149471.22443817413
Hungary,2,414500.0341562811
Italy,2,715954.6044517583
Lithuania,2,1100309.1815784913
Netherlands,2,2888939.6319983234
Poland,2,2763333.5610418743
Romania,2,628030.3547822441
Slovakia,2,489863.6767301505
Spain,2,502424.28382579534
Croatia,2,423920.48947801476
Finland,2,97972.73534603008
NO5,2,304379.5948972459
Austria,3,510662.2116558502
Belgium,3,1097923.755060078
Bulgaria,3,399593.18062070274
CzechR,3,229797.99524513257
Estonia,3,44682.94351988688
France,3,1301167.3152991063
Germany,3,3191638.822849063
GreatBrit.,3,1072390.6444772857
Greece,3,151922.00796761544
Hungary,3,421296.32461607637
Italy,3,727693.6516095864
Lithuania,3,1118350.2435263118
Netherlands,3,2936307.717021139
Poland,3,2808642.164107176
Romania,3,638327.7645698127
Slovakia,3,497895.65636445396
Spain,3,510662.2116558502
Croatia,3,387784.1169761612
Finland,3,99579.13127289078
NO5,3,282685.0860204615
Austria,4,511934.1074630269
Belgium,4,1100658.331045508
Bulgaria,4,400588.4390898185
CzechR,4,230370.3483583621
Estonia,4,44794.234403014845
France,4,1304408.1058157927
Germany,4,3199588.1716439174
GreatBrit.,4,1075061.6256723567
Greece,4,152300.3969702505
Hungary,4,422345.6386569972
Italy,4,729506.1031348134
Lithuania,4,1121135.6953440285
Netherlands,4,2943621.117912405
Poland,4,2815637.591046648
Romania,4,639917.6343287835
Slovakia,4,499135.7547764512
Spain,4,511934.1074630269
Croatia,4,349874.96656926244
Finland,4,99827.15095529024
NO5,4,278295.56912104605
Austria,5,513209.1711547805
Belgium,5,1103399.7179827783
Bulgaria,5,401586.1764286157
CzechR,5,230944.1270196512
Estonia,5,44905.80247604329
France,5,1255350.6893782855
Germany,5,3207557.3197173774
GreatBrit.,5,1077739.2594250394
Greece,5,152679.7284185472
Hungary,5,423397.5662026939
Italy,5,731323.0688955622
Lithuania,5,1123928.084828969
Netherlands,5,2950952.7341399887
Poland,5,2822650.441351293
Romania,5,641511.4639434755
Slovakia,5,500378.94187591097
Spain,5,513209.1711547805
Croatia,5,350746.39291109523
Finland,5,100075.78837518218
NO5,5,272869.46140130766
Austria,6,514487.41062129557
Belgium,6,1106147.932835786
Bulgaria,6,402586.3988111638
CzechR,6,231519.334779583
Estonia,6,45017.64842936336
France,6,1208138.2707576372
Germany,6,3215546.316383097
GreatBrit.,6,1080423.5623047212
Greece,6,153060.00465983545
Hungary,6,424452.11376256886
Italy,6,733144.5601353461
Lithuania,6,1126727.4292606371
Netherlands,6,2958302.6110724504
Poland,6,2829680.7584171263
Romania,6,643109.2632766194
Slovakia,6,501625.22535576316
Spain,6,514487.41062129557
Croatia,6,351619.9896964916
Finland,6,100325.04507115264
NO5,6,267443.35368156916
Austria,7,515768.8337724087
Belgium,7,1108902.992610679
Bulgaria,7,403589.1124269098
CzechR,7,232095.9751975839
Estonia,7,45129.772955085755
France,7,1162701.4615271548
Germany,7,3223555.2110775537
GreatBrit.,7,1083114.5509220588
Greece,7,153441.22804729157
Hungary,7,425509.28786223714
Italy,7,734970.5881256823
Lithuania,7,1129533.7459615748
Netherlands,7,2965670.7941913507
Poland,7,2836728.585748248
Romania,7,644711.0422155107
Slovakia,7,502874.6129280984
Spain,7,515768.8337724087
Croatia,7,352495.7623313305
Finland,7,100574.92258561969
NO5,7,262017.24596183078
