PlantType,Period,Fixed_O&M_(EUR/(ton/hr))
NG-Cement,1,350830.116
NG-Cement,2,350830.116
NG-Cement,3,350830.116
NG-Cement,4,350830.116
NG-Cement,5,350830.116
NG-Cement,6,350830.116
NG-Cement,7,350830.116
H2-Cement,1,350830.116
H2-Cement,2,350830.116
H2-Cement,3,350830.116
H2-Cement,4,350830.116
H2-Cement,5,350830.116
H2-Cement,6,350830.116
H2-Cement,7,350830.116
NG-CCS-Cement,1,659890.8
NG-CCS-Cement,2,659890.8
NG-CCS-Cement,3,659890.8
NG-CCS-Cement,4,659890.8
NG-CCS-Cement,5,659890.8
NG-CCS-Cement,6,659890.8
NG-CCS-Cement,7,659890.8
