Node,CementPlant,Capacity_(ton/hr)
Austria,NG-Cement,0
Belgium,NG-Cement,0
BosniaH,NG-Cement,0
Bulgaria,NG-Cement,0
Croatia,NG-Cement,0
CzechR,NG-Cement,0
Denmark,NG-Cement,0
Estonia,NG-Cement,0
Finland,NG-Cement,0
France,NG-Cement,0
Germany,NG-Cement,0
Greece,NG-Cement,0
Hungary,NG-Cement,0
Ireland,NG-Cement,0
Italy,NG-Cement,0
Latvia,NG-Cement,0
Lithuania,NG-Cement,0
Luxemb.,NG-Cement,0
Macedonia,NG-Cement,0
Netherlands,NG-Cement,0
NO1,NG-Cement,0
NO2,NG-Cement,0
NO3,NG-Cement,0
NO4,NG-Cement,0
NO5,NG-Cement,0
Poland,NG-Cement,0
Portugal,NG-Cement,0
Romania,NG-Cement,0
Serbia,NG-Cement,0
Slovakia,NG-Cement,0
Slovenia,NG-Cement,0
Spain,NG-Cement,0
Sweden,NG-Cement,0
Switzerland,NG-Cement,0
GreatBrit.,NG-Cement,0
