PlantType,Period,InvCost_(EUR/(ton/hr))
NG-Cement,1,2598741.6
NG-Cement,2,2598741.6
NG-Cement,3,2598741.6
NG-Cement,4,2598741.6
NG-Cement,5,2598741.6
NG-Cement,6,2598741.6
NG-Cement,7,2598741.6
H2-Cement,1,2598741.6
H2-Cement,2,2598741.6
H2-Cement,3,2598741.6
H2-Cement,4,2598741.6
H2-Cement,5,2598741.6
H2-Cement,6,2598741.6
H2-Cement,7,2598741.6
NG-CCS-Cement,1,4888080.0
NG-CCS-Cement,2,4888080.0
NG-CCS-Cement,3,4888080.0
NG-CCS-Cement,4,4888080.0
NG-CCS-Cement,5,4888080.0
NG-CCS-Cement,6,4888080.0
NG-CCS-Cement,7,4888080.0
