Node,Period,Yearly_production_of_oil_(k_bbl/yr)
Austria,1,53493.67901234567
Austria,2,42794.94320987653
Austria,3,32096.207407407397
Austria,4,21397.471604938262
Austria,5,10698.73580246913
Austria,6,0.0
Austria,7,0.0
Belgium,1,196314.1234567901
Belgium,2,157051.2987654321
Belgium,3,117788.47407407407
Belgium,4,78525.64938271604
Belgium,5,39262.82469135802
Belgium,6,0.0
Belgium,7,0.0
BosniaH,1,15357.03703703704
BosniaH,2,12285.629629629631
BosniaH,3,9214.222222222223
BosniaH,4,6142.814814814815
BosniaH,5,3071.407407407407
BosniaH,6,0.0
BosniaH,7,0.0
Croatia,1,23035.55555555556
Croatia,2,18428.444444444445
Croatia,3,13821.333333333334
Croatia,4,9214.222222222223
Croatia,5,4607.111111111111
Croatia,6,0.0
Croatia,7,0.0
CzechR,1,44791.35802469136
CzechR,2,35833.08641975309
CzechR,3,26874.814814814818
CzechR,4,17916.543209876545
CzechR,5,8958.271604938273
CzechR,6,0.0
CzechR,7,0.0
Denmark,1,47606.81481481482
Denmark,2,38085.45185185185
Denmark,3,28564.088888888888
Denmark,4,19042.725925925923
Denmark,5,9521.36296296296
Denmark,6,0.0
Denmark,7,0.0
Finland,1,67570.96296296296
Finland,2,54056.770370370374
Finland,3,40542.577777777784
Finland,4,27028.38518518519
Finland,5,13514.192592592597
Finland,6,0.0
Finland,7,0.0
France,1,332223.9012345679
France,2,265779.1209876543
France,3,199334.34074074074
France,4,132889.56049382716
France,5,66444.78024691358
France,6,0.0
France,7,0.0
Germany,1,565138.962962963
Germany,2,452111.17037037044
Germany,3,339083.37777777785
Germany,4,226055.58518518525
Germany,5,113027.79259259264
Germany,6,0.0
Germany,7,0.0
Greece,1,136933.5802469136
Greece,2,109546.86419753087
Greece,3,82160.14814814815
Greece,4,54773.43209876543
Greece,5,27386.71604938271
Greece,6,0.0
Greece,7,0.0
Hungary,1,42231.85185185185
Hungary,2,33785.481481481474
Hungary,3,25339.111111111106
Hungary,4,16892.740740740737
Hungary,5,8446.370370370369
Hungary,6,0.0
Hungary,7,0.0
Ireland,1,19196.2962962963
Ireland,2,15357.03703703704
Ireland,3,11517.777777777781
Ireland,4,7678.518518518521
Ireland,5,3839.259259259261
Ireland,6,0.0
Ireland,7,0.0
Italy,1,442794.5679012346
Italy,2,354235.6543209877
Italy,3,265676.7407407408
Italy,4,177117.82716049388
Italy,5,88558.91358024695
Italy,6,0.0
Italy,7,0.0
Lithuania,1,52469.87654320987
Lithuania,2,41975.9012345679
Lithuania,3,31481.925925925927
Lithuania,4,20987.950617283954
Lithuania,5,10493.975308641979
Lithuania,6,0.0
Lithuania,7,0.0
Netherlands,1,344253.5802469136
Netherlands,2,275402.8641975309
Netherlands,3,206552.14814814818
Netherlands,4,137701.43209876545
Netherlands,5,68850.71604938273
Netherlands,6,0.0
Netherlands,7,0.0
NO5,1,52469.87654320987
NO5,2,41975.9012345679
NO5,3,31481.925925925927
NO5,4,20987.950617283954
NO5,5,10493.975308641979
NO5,6,0.0
NO5,7,0.0
NO1,1,29690.27160493828
NO1,2,23752.217283950624
NO1,3,17814.162962962968
NO1,4,11876.108641975312
NO1,5,5938.054320987656
NO1,6,0.0
NO1,7,0.0
Poland,1,145891.8518518519
Poland,2,116713.48148148153
Poland,3,87535.11111111115
Poland,4,58356.74074074077
Poland,5,29178.37037037039
Poland,6,0.0
Poland,7,0.0
Portugal,1,84463.70370370371
Portugal,2,67570.96296296296
Portugal,3,50678.22222222222
Portugal,4,33785.481481481474
Portugal,5,16892.740740740734
Portugal,6,0.0
Portugal,7,0.0
Serbia,1,37880.69135802469
Serbia,2,30304.553086419754
Serbia,3,22728.414814814816
Serbia,4,15152.276543209879
Serbia,5,7576.13827160494
Serbia,6,0.0
Serbia,7,0.0
Slovakia,1,31737.87654320988
Slovakia,2,25390.301234567905
Slovakia,3,19042.72592592593
Slovakia,4,12695.150617283954
Slovakia,5,6347.575308641978
Slovakia,6,0.0
Slovakia,7,0.0
Spain,1,391092.5432098766
Spain,2,312874.0345679013
Spain,3,234655.52592592596
Spain,4,156437.01728395064
Spain,5,78218.50864197532
Spain,6,0.0
Spain,7,0.0
Sweden,1,119784.8888888889
Sweden,2,95827.91111111113
Sweden,3,71870.93333333335
Sweden,4,47913.95555555557
Sweden,5,23956.97777777779
Sweden,6,0.0
Sweden,7,0.0
Switzerland,1,17404.64197530864
Switzerland,2,13923.713580246913
Switzerland,3,10442.785185185185
Switzerland,4,6961.856790123456
Switzerland,5,3480.928395061728
Switzerland,6,0.0
Switzerland,7,0.0
GreatBrit.,1,319682.3209876543
GreatBrit.,2,255745.85679012345
GreatBrit.,3,191809.39259259257
GreatBrit.,4,127872.92839506171
GreatBrit.,5,63936.46419753085
GreatBrit.,6,0.0
GreatBrit.,7,0.0
