PlantType,Period,InvCost_(eur/(t/h)_crude_steel)
BF-BOF,1,586920
BF-BOF,2,586920
BF-BOF,3,586920
BF-BOF,4,586920
BF-BOF,5,586920
BF-BOF,6,586920
BF-BOF,7,586920
BF-BOF-BioCarbon,1,586920
BF-BOF-BioCarbon,2,586920
BF-BOF-BioCarbon,3,586920
BF-BOF-BioCarbon,4,586920
BF-BOF-BioCarbon,5,586920
BF-BOF-BioCarbon,6,586920
BF-BOF-BioCarbon,7,586920
H2-DRI,1,385440
H2-DRI,2,385440
H2-DRI,3,385440
H2-DRI,4,385440
H2-DRI,5,385440
H2-DRI,6,385440
H2-DRI,7,385440
EAF,1,372300
EAF,2,372300
EAF,3,372300
EAF,4,372300
EAF,5,372300
EAF,6,372300
EAF,7,372300
Scrap,1,0
Scrap,2,0
Scrap,3,0
Scrap,4,0
Scrap,5,0
Scrap,6,0
Scrap,7,0
BF-BOF-CCS,1,586920
BF-BOF-CCS,2,586920
BF-BOF-CCS,3,586920
BF-BOF-CCS,4,586920
BF-BOF-CCS,5,586920
BF-BOF-CCS,6,586920
BF-BOF-CCS,7,586920
