Node,PlantType,Initial_capacity_(ton/hr)
Germany,BF-BOF,3305.936073059361
Italy,BF-BOF,1312.785388127854
France,BF-BOF,1352.739726027397
Spain,BF-BOF,616.4383561643835
Poland,BF-BOF,867.5799086757991
Belgium,BF-BOF,570.7762557077626
Austria,BF-BOF,864.1552511415525
GreatBrit.,BF-BOF,924.6575342465753
Netherlands,BF-BOF,856.1643835616438
Sweden,BF-BOF,445.2054794520548
CzechR,BF-BOF,273.972602739726
Slovakia,BF-BOF,513.6986301369864
Finland,BF-BOF,296.8036529680365
Romania,BF-BOF,365.296803652968
Luxemb.,BF-BOF,0.0
Hungary,BF-BOF,188.3561643835616
Greece,BF-BOF,0.0
Bulgaria,BF-BOF,0.0
Slovenia,BF-BOF,0.0
Croatia,BF-BOF,0.0
Germany,EAF,0.0
Italy,EAF,0.0
France,EAF,0.0
Spain,EAF,0.0
Poland,EAF,0.0
Belgium,EAF,0.0
Austria,EAF,0.0
GreatBrit.,EAF,0.0
Netherlands,EAF,0.0
Sweden,EAF,0.0
CzechR,EAF,0.0
Slovakia,EAF,0.0
Finland,EAF,0.0
Romania,EAF,0.0
Luxemb.,EAF,0.0
Hungary,EAF,0.0
Greece,EAF,0.0
Bulgaria,EAF,0.0
Slovenia,EAF,0.0
Croatia,EAF,0.0
