PlantType,Period,InvCost_(eur/(t/h)_crude_steel)
BF-BOF,1,1489200
BF-BOF,2,999999999
BF-BOF,3,999999999
BF-BOF,4,999999999
BF-BOF,5,999999999
BF-BOF,6,999999999
BF-BOF,7,999999999
BF-BOF-BioCarbon,1,999999999
BF-BOF-BioCarbon,2,999999999
BF-BOF-BioCarbon,3,999999999
BF-BOF-BioCarbon,4,999999999
BF-BOF-BioCarbon,5,999999999
BF-BOF-BioCarbon,6,999999999
BF-BOF-BioCarbon,7,999999999
H2-DRI,1,999999999
H2-DRI,2,2014800
H2-DRI,3,2014800
H2-DRI,4,2014800
H2-DRI,5,2014800
H2-DRI,6,2014800
H2-DRI,7,2014800
EAF,1,999999999
EAF,2,999999999
EAF,3,999999999
EAF,4,999999999
EAF,5,999999999
EAF,6,999999999
EAF,7,999999999
Scrap,1,0
Scrap,2,0
Scrap,3,0
Scrap,4,0
Scrap,5,0
Scrap,6,0
Scrap,7,0
BF-BOF-CCS,1,999999999
BF-BOF-CCS,2,999999999
BF-BOF-CCS,3,999999999
BF-BOF-CCS,4,999999999
BF-BOF-CCS,5,999999999
BF-BOF-CCS,6,999999999
BF-BOF-CCS,7,999999999
