PlantType,Period,VarOpex_(eur/(t/h)_crude_steel)
BF-BOF,1,102.96
BF-BOF,2,102.96
BF-BOF,3,102.96
BF-BOF,4,102.96
BF-BOF,5,102.96
BF-BOF,6,102.96
BF-BOF,7,102.96
BF-BOF-BioCarbon,1,102.96
BF-BOF-BioCarbon,2,102.96
BF-BOF-BioCarbon,3,102.96
BF-BOF-BioCarbon,4,102.96
BF-BOF-BioCarbon,5,102.96
BF-BOF-BioCarbon,6,102.96
BF-BOF-BioCarbon,7,102.96
H2-DRI,1,15.68
H2-DRI,2,15.68
H2-DRI,3,15.68
H2-DRI,4,15.68
H2-DRI,5,15.68
H2-DRI,6,15.68
H2-DRI,7,15.68
EAF,1,58.68
EAF,2,58.68
EAF,3,58.68
EAF,4,58.68
EAF,5,58.68
EAF,6,58.68
EAF,7,58.68
Scrap,1,0.0
Scrap,2,0.0
Scrap,3,0.0
Scrap,4,0.0
Scrap,5,0.0
Scrap,6,0.0
Scrap,7,0.0
BF-BOF-CCS,1,102.96
BF-BOF-CCS,2,102.96
BF-BOF-CCS,3,102.96
BF-BOF-CCS,4,102.96
BF-BOF-CCS,5,102.96
BF-BOF-CCS,6,102.96
BF-BOF-CCS,7,102.96
