Node,Period,Production_(ton/yr)
Austria,1,7726464.18583785
Austria,2,6955394.2221646225
Austria,3,6204765.91182181
Austria,4,5768074.1433920255
Austria,5,5286139.053082842
Austria,6,4754969.965700889
Austria,7,4170228.550036042
Belgium,1,5292502.091190387
Belgium,2,4764331.7280021785
Belgium,3,4250163.564319006
Belgium,4,3951036.8173321337
Belgium,5,3620919.131941892
Belgium,6,3257076.9606551267
Belgium,7,2856538.6172710583
Bulgaria,1,0.0
Bulgaria,2,0.0
Bulgaria,3,0.0
Bulgaria,4,0.0
Bulgaria,5,0.0
Bulgaria,6,0.0
Bulgaria,7,0.0
Croatia,1,0.0
Croatia,2,0.0
Croatia,3,0.0
Croatia,4,0.0
Croatia,5,0.0
Croatia,6,0.0
Croatia,7,0.0
CzechR,1,5394917.719451362
CzechR,2,4856526.689621418
CzechR,3,4332408.816971092
CzechR,4,4027493.6445486727
CzechR,5,3690987.825612755
CzechR,6,3320104.9155755597
CzechR,7,2911815.7229006477
Finland,1,2889086.1670111995
Finland,2,2600767.019692899
Finland,3,2320091.4330573753
Finland,4,2156803.2695361283
Finland,5,1976597.6839900704
Finland,6,1777982.4797014152
Finland,7,1559335.4641140825
France,1,10813183.657549191
France,2,9734071.539835509
France,3,8683567.508098708
France,4,8072417.546072561
France,5,7397949.572470524
France,6,6654578.638893742
France,7,5836233.252481569
Germany,1,33077420.475966245
Germany,2,29776427.319024343
Germany,3,26562946.010474037
Germany,4,24693444.399475653
Germany,5,22630253.625421606
Germany,6,20356289.387112916
Germany,7,17852979.048716456
GreatBrit.,1,9961398.51019523
GreatBrit.,2,8967291.114800906
GreatBrit.,3,7999538.265306734
GreatBrit.,4,7436530.3192627495
GreatBrit.,5,6815192.101010708
GreatBrit.,6,6130378.604378344
GreatBrit.,7,5376496.605218904
Greece,1,0.0
Greece,2,0.0
Greece,3,0.0
Greece,4,0.0
Greece,5,0.0
Greece,6,0.0
Greece,7,0.0
Hungary,1,1658610.6109279536
Hungary,2,1493087.9614008379
Hungary,3,1331953.443663796
Hungary,4,1238210.4865489316
Hungary,5,1134755.3180087756
Hungary,6,1020731.2750133456
Hungary,7,895207.0645409229
Italy,1,5273152.367799062
Italy,2,4746913.028964761
Italy,3,4234624.696705833
Italy,4,3936591.5760819567
Italy,5,3607680.8218915192
Italy,6,3245168.88066441
Italy,7,2846094.9308731193
Luxemb.,1,0.0
Luxemb.,2,0.0
Luxemb.,3,0.0
Luxemb.,4,0.0
Luxemb.,5,0.0
Luxemb.,6,0.0
Luxemb.,7,0.0
Netherlands,1,7580846.538790708
Netherlands,2,6824308.628993382
Netherlands,3,6087827.116685231
Netherlands,4,5659365.507132021
Netherlands,5,5186513.258882586
Netherlands,6,4665354.907437325
Netherlands,7,4091633.8844167884
Poland,1,5856073.1031275615
Poland,2,5271660.625920605
Poland,3,4702741.369593531
Poland,4,4371762.171612359
Poland,5,4006491.971436452
Poland,6,3603906.1403221693
Poland,7,3160716.5526662585
Romania,1,2470856.550453388
Romania,2,2224275.0320802135
Romania,3,1984230.5779862124
Romania,4,1844580.3200413748
Romania,5,1690461.6383076985
Romania,6,1520598.3493065436
Romania,7,1333603.0921661393
Slovakia,1,4661809.628212698
Slovakia,2,4196579.829145471
Slovakia,3,3743683.6271829824
Slovakia,4,3480202.9662153632
Slovakia,5,3189424.4690736877
Slovakia,6,2868940.3373663425
Slovakia,7,2516133.012308444
Slovenia,1,0.0
Slovenia,2,0.0
Slovenia,3,0.0
Slovenia,4,0.0
Slovenia,5,0.0
Slovenia,6,0.0
Slovenia,7,0.0
Spain,1,5173798.620572993
Spain,2,4657474.385002202
Spain,3,4154838.2990506124
Spain,4,3862420.5495114555
Spain,5,3539706.945270891
Spain,6,3184025.248509132
Spain,7,2792470.4238192122
Sweden,1,3180680.2580923224
Sweden,2,2863261.1965300185
Sweden,3,2554257.156590412
Sweden,4,2374488.3964812336
Sweden,5,2176094.746998196
Sweden,6,1957433.404719355
Sweden,7,1716718.4499664197
