FromNode,ToNode,Capacity_(ton/h)
Austria,CzechR,0.0
Austria,Germany,1176.427502308843
Austria,Hungary,351.1119072640999
Austria,Italy,3098.384623260406
Austria,Slovakia,670.0168784433617
Austria,Slovenia,304.5285182000574
Belgium,Germany,847.4693544791567
Belgium,France,2355.020540747109
Belgium,GreatBrit.,2174.739657972676
Belgium,Netherlands,1064.361007611222
Bulgaria,Greece,294.7836056176555
Bulgaria,Romania,76.8223941912678
Bulgaria,Serbia,174.8713450292398
Switzerland,Germany,596.4912280701753
Switzerland,France,248.5380116959064
Switzerland,Italy,1685.231890863348
CzechR,Austria,0.0
CzechR,Germany,2989.522653737142
CzechR,Poland,75.79376452979203
CzechR,Slovakia,1886.18196872711
Germany,Austria,1368.077449762746
Germany,Belgium,1058.135091239133
Germany,Switzerland,1575.400464953345
Germany,CzechR,7440.816752460111
Germany,Denmark,273.845036782268
Germany,France,1562.16362536225
Germany,Netherlands,2522.332677303271
Germany,Poland,576.6281328620107
Denmark,Germany,246.4055284863539
Denmark,Netherlands,1071.940384064202
Denmark,Poland,776.2557077625573
Denmark,Sweden,238.2089742364893
Denmark,NO2,776.2557077625571
Spain,France,609.0570364001147
Spain,Portugal,389.7965032960734
Estonia,Finland,0.0
Estonia,Latvia,541.3840323556575
Finland,Estonia,0.0
France,Belgium,1648.514378522977
France,Switzerland,704.8820101270659
France,Germany,1535.987707397853
France,Spain,446.6418266934174
GreatBrit.,Belgium,1705.630393936499
GreatBrit.,Ireland,925.7666953281743
GreatBrit.,Netherlands,1555.044425336773
Greece,Bulgaria,473.7134502923976
Greece,Italy,0.0
Croatia,Hungary,205.7259322951498
Croatia,Slovenia,402.6315789473683
Hungary,Austria,0.0
Hungary,Croatia,207.6207764083947
Hungary,Romania,139.6770803477596
Hungary,Serbia,384.5586127830323
Hungary,Slovenia,0.0
Ireland,GreatBrit.,1166.682589726442
Italy,Austria,3609.992533836502
Italy,Switzerland,2693.926945001751
Italy,Slovenia,76.60584057832554
Lithuania,Latvia,182.4464189038566
Lithuania,Poland,0.0
Latvia,Estonia,495.3663896054265
Latvia,Lithuania,175.9498105155886
Netherlands,Belgium,2159.851597082895
Netherlands,Germany,4989.59487484475
Netherlands,GreatBrit.,1337.218559918474
NO2,Germany,1863.013698630137
NO2,Denmark,776.2557077625571
Poland,CzechR,0.0
Poland,Germany,2520.250947422056
Poland,Denmark,776.255707762557
Poland,Lithuania,0.0
Poland,Slovakia,0.0
Portugal,Spain,216.553612942263
Romania,Bulgaria,2011.45823381421
Romania,Hungary,6.767300404445719
Serbia,Bulgaria,0.0
Slovakia,Austria,4166.49151300914
Slovakia,CzechR,1407.598484124709
Slovakia,Hungary,343.6841183401802
Slovakia,Poland,0.0
Slovenia,Austria,305.8819782809464
Slovenia,Croatia,583.8826788955765
Slovenia,Hungary,0.0
Slovenia,Italy,133.7074957803891
NO3,Sleipner,2040.0
NO5,Sleipner,2096.666666666667
Sleipner,GreatBrit.,2125.0
Sleipner,Belgium,1190.0
NO2,Draupner,1473.333333333333
NO5,Draupner,2068.333333333333
Draupner,Germany,2181.666666666667
Draupner,France,1558.333333333333
Sleipner,Draupner,708.3333333333334
Draupner,Sleipner,708.3333333333334
