Node,Terminal,Period,Capacity_(ton/hr)
NO2,DomesticProduction,1,3354.888981940906
NO2,DomesticProduction,2,3354.888981940906
NO2,DomesticProduction,3,3354.888981940906
NO2,DomesticProduction,4,3354.888981940906
NO2,DomesticProduction,5,3354.888981940906
NO2,DomesticProduction,6,3354.888981940906
NO2,DomesticProduction,7,3354.888981940906
NO5,DomesticProduction,1,5386.460643227344
NO5,DomesticProduction,2,5386.460643227344
NO5,DomesticProduction,3,5386.460643227344
NO5,DomesticProduction,4,5386.460643227344
NO5,DomesticProduction,5,5386.460643227344
NO5,DomesticProduction,6,5386.460643227344
NO5,DomesticProduction,7,5386.460643227344
NO3,DomesticProduction,1,3131.229716478179
NO3,DomesticProduction,2,3131.229716478179
NO3,DomesticProduction,3,3131.229716478179
NO3,DomesticProduction,4,3131.229716478179
NO3,DomesticProduction,5,3131.229716478179
NO3,DomesticProduction,6,3131.229716478179
NO3,DomesticProduction,7,3131.229716478179
GreatBrit.,DomesticProduction,1,2417.92023870743
GreatBrit.,DomesticProduction,2,2417.92023870743
GreatBrit.,DomesticProduction,3,2417.92023870743
GreatBrit.,DomesticProduction,4,2417.92023870743
GreatBrit.,DomesticProduction,5,2417.92023870743
GreatBrit.,DomesticProduction,6,2417.92023870743
GreatBrit.,DomesticProduction,7,2417.92023870743
Netherlands,DomesticProduction,1,1322.7030869566388
Netherlands,DomesticProduction,2,1322.7030869566388
Netherlands,DomesticProduction,3,1322.7030869566388
Netherlands,DomesticProduction,4,1322.7030869566388
Netherlands,DomesticProduction,5,1322.7030869566388
Netherlands,DomesticProduction,6,1322.7030869566388
Netherlands,DomesticProduction,7,1322.7030869566388
Romania,DomesticProduction,1,1196.4893065857045
Romania,DomesticProduction,2,1196.4893065857045
Romania,DomesticProduction,3,1196.4893065857045
Romania,DomesticProduction,4,1196.4893065857045
Romania,DomesticProduction,5,1196.4893065857045
Romania,DomesticProduction,6,1196.4893065857045
Romania,DomesticProduction,7,1196.4893065857045
Germany,DomesticProduction,1,481.6251318724682
Germany,DomesticProduction,2,481.6251318724682
Germany,DomesticProduction,3,481.6251318724682
Germany,DomesticProduction,4,481.6251318724682
Germany,DomesticProduction,5,481.6251318724682
Germany,DomesticProduction,6,481.6251318724682
Germany,DomesticProduction,7,481.6251318724682
Italy,DomesticProduction,1,381.8754882301306
Italy,DomesticProduction,2,381.8754882301306
Italy,DomesticProduction,3,381.8754882301306
Italy,DomesticProduction,4,381.8754882301306
Italy,DomesticProduction,5,381.8754882301306
Italy,DomesticProduction,6,381.8754882301306
Italy,DomesticProduction,7,381.8754882301306
Poland,DomesticProduction,1,361.7002052244315
Poland,DomesticProduction,2,361.7002052244315
Poland,DomesticProduction,3,361.7002052244315
Poland,DomesticProduction,4,361.7002052244315
Poland,DomesticProduction,5,361.7002052244315
Poland,DomesticProduction,6,361.7002052244315
Poland,DomesticProduction,7,361.7002052244315
Hungary,DomesticProduction,1,190.41646197912053
Hungary,DomesticProduction,2,190.41646197912053
Hungary,DomesticProduction,3,190.41646197912053
Hungary,DomesticProduction,4,190.41646197912053
Hungary,DomesticProduction,5,190.41646197912053
Hungary,DomesticProduction,6,190.41646197912053
Hungary,DomesticProduction,7,190.41646197912053
Denmark,DomesticProduction,1,187.27739726027394
Denmark,DomesticProduction,2,187.27739726027394
Denmark,DomesticProduction,3,187.27739726027394
Denmark,DomesticProduction,4,187.27739726027394
Denmark,DomesticProduction,5,187.27739726027394
Denmark,DomesticProduction,6,187.27739726027394
Denmark,DomesticProduction,7,187.27739726027394
Ireland,DomesticProduction,1,145.62777334847354
Ireland,DomesticProduction,2,145.62777334847354
Ireland,DomesticProduction,3,145.62777334847354
Ireland,DomesticProduction,4,145.62777334847354
Ireland,DomesticProduction,5,145.62777334847354
Ireland,DomesticProduction,6,145.62777334847354
Ireland,DomesticProduction,7,145.62777334847354
Croatia,DomesticProduction,1,92.37613383478426
Croatia,DomesticProduction,2,92.37613383478426
Croatia,DomesticProduction,3,92.37613383478426
Croatia,DomesticProduction,4,92.37613383478426
Croatia,DomesticProduction,5,92.37613383478426
Croatia,DomesticProduction,6,92.37613383478426
Croatia,DomesticProduction,7,92.37613383478426
Austria,DomesticProduction,1,74.19308813778626
Austria,DomesticProduction,2,74.19308813778626
Austria,DomesticProduction,3,74.19308813778626
Austria,DomesticProduction,4,74.19308813778626
Austria,DomesticProduction,5,74.19308813778626
Austria,DomesticProduction,6,74.19308813778626
Austria,DomesticProduction,7,74.19308813778626
GreatBrit.,LNGImport,1,4276.405653730859
GreatBrit.,LNGImport,2,4276.405653730859
GreatBrit.,LNGImport,3,4276.405653730859
GreatBrit.,LNGImport,4,4276.405653730859
GreatBrit.,LNGImport,5,4276.405653730859
GreatBrit.,LNGImport,6,4276.405653730859
GreatBrit.,LNGImport,7,4276.405653730859
Spain,LNGImport,1,5210.704
Spain,LNGImport,2,5210.704
Spain,LNGImport,3,5210.704
Spain,LNGImport,4,5210.704
Spain,LNGImport,5,5210.704
Spain,LNGImport,6,5210.704
Spain,LNGImport,7,5210.704
Italy,LNGImport,1,2501.221118454316
Italy,LNGImport,2,2501.221118454316
Italy,LNGImport,3,2501.221118454316
Italy,LNGImport,4,2501.221118454316
Italy,LNGImport,5,2501.221118454316
Italy,LNGImport,6,2501.221118454316
Italy,LNGImport,7,2501.221118454316
Belgium,LNGImport,1,1802.0000000000002
Belgium,LNGImport,2,1802.0000000000002
Belgium,LNGImport,3,1802.0000000000002
Belgium,LNGImport,4,1802.0000000000002
Belgium,LNGImport,5,1802.0000000000002
Belgium,LNGImport,6,1802.0000000000002
Belgium,LNGImport,7,1802.0000000000002
Croatia,LNGImport,1,408.00000000000006
Croatia,LNGImport,2,408.00000000000006
Croatia,LNGImport,3,408.00000000000006
Croatia,LNGImport,4,408.00000000000006
Croatia,LNGImport,5,408.00000000000006
Croatia,LNGImport,6,408.00000000000006
Croatia,LNGImport,7,408.00000000000006
France,LNGImport,1,3821.6000000000004
France,LNGImport,2,3821.6000000000004
France,LNGImport,3,3821.6000000000004
France,LNGImport,4,3821.6000000000004
France,LNGImport,5,3821.6000000000004
France,LNGImport,6,3821.6000000000004
France,LNGImport,7,3821.6000000000004
Greece,LNGImport,1,2763.52
Greece,LNGImport,2,2763.52
Greece,LNGImport,3,2763.52
Greece,LNGImport,4,2763.52
Greece,LNGImport,5,2763.52
Greece,LNGImport,6,2763.52
Greece,LNGImport,7,2763.52
Lithuania,LNGImport,1,291.31064000000003
Lithuania,LNGImport,2,291.31064000000003
Lithuania,LNGImport,3,291.31064000000003
Lithuania,LNGImport,4,291.31064000000003
