Node,Terminal,Period,GasScenario,Cost_(EUR/ton)
NO2,DomesticProduction,1,1,278.0
NO2,DomesticProduction,2,1,278.0
NO2,DomesticProduction,3,1,278.0
NO2,DomesticProduction,4,1,278.0
NO2,DomesticProduction,5,1,278.0
NO2,DomesticProduction,6,1,278.0
NO2,DomesticProduction,7,1,278.0
NO5,DomesticProduction,1,1,675.0
NO5,DomesticProduction,2,1,278.0
NO5,DomesticProduction,3,1,278.0
NO5,DomesticProduction,4,1,278.0
NO5,DomesticProduction,5,1,278.0
NO5,DomesticProduction,6,1,278.0
NO5,DomesticProduction,7,1,278.0
NO3,DomesticProduction,1,1,278.0
NO3,DomesticProduction,2,1,278.0
NO3,DomesticProduction,3,1,278.0
NO3,DomesticProduction,4,1,278.0
NO3,DomesticProduction,5,1,278.0
NO3,DomesticProduction,6,1,278.0
NO3,DomesticProduction,7,1,278.0
GreatBrit.,DomesticProduction,1,1,278.0
GreatBrit.,DomesticProduction,2,1,278.0
GreatBrit.,DomesticProduction,3,1,278.0
GreatBrit.,DomesticProduction,4,1,278.0
GreatBrit.,DomesticProduction,5,1,278.0
GreatBrit.,DomesticProduction,6,1,278.0
GreatBrit.,DomesticProduction,7,1,278.0
Netherlands,DomesticProduction,1,1,278.0
Netherlands,DomesticProduction,2,1,278.0
Netherlands,DomesticProduction,3,1,278.0
Netherlands,DomesticProduction,4,1,278.0
Netherlands,DomesticProduction,5,1,278.0
Netherlands,DomesticProduction,6,1,278.0
Netherlands,DomesticProduction,7,1,278.0
Romania,DomesticProduction,1,1,278.0
Romania,DomesticProduction,2,1,278.0
Romania,DomesticProduction,3,1,278.0
Romania,DomesticProduction,4,1,278.0
Romania,DomesticProduction,5,1,278.0
Romania,DomesticProduction,6,1,278.0
Romania,DomesticProduction,7,1,278.0
Germany,DomesticProduction,1,1,278.0
Germany,DomesticProduction,2,1,278.0
Germany,DomesticProduction,3,1,278.0
Germany,DomesticProduction,4,1,278.0
Germany,DomesticProduction,5,1,278.0
Germany,DomesticProduction,6,1,278.0
Germany,DomesticProduction,7,1,278.0
Italy,DomesticProduction,1,1,278.0
Italy,DomesticProduction,2,1,278.0
Italy,DomesticProduction,3,1,278.0
Italy,DomesticProduction,4,1,278.0
Italy,DomesticProduction,5,1,278.0
Italy,DomesticProduction,6,1,278.0
Italy,DomesticProduction,7,1,278.0
Poland,DomesticProduction,1,1,278.0
Poland,DomesticProduction,2,1,278.0
Poland,DomesticProduction,3,1,278.0
Poland,DomesticProduction,4,1,278.0
Poland,DomesticProduction,5,1,278.0
Poland,DomesticProduction,6,1,278.0
Poland,DomesticProduction,7,1,278.0
Hungary,DomesticProduction,1,1,278.0
Hungary,DomesticProduction,2,1,278.0
Hungary,DomesticProduction,3,1,278.0
Hungary,DomesticProduction,4,1,278.0
Hungary,DomesticProduction,5,1,278.0
Hungary,DomesticProduction,6,1,278.0
Hungary,DomesticProduction,7,1,278.0
Denmark,DomesticProduction,1,1,278.0
Denmark,DomesticProduction,2,1,278.0
Denmark,DomesticProduction,3,1,278.0
Denmark,DomesticProduction,4,1,278.0
Denmark,DomesticProduction,5,1,278.0
Denmark,DomesticProduction,6,1,278.0
Denmark,DomesticProduction,7,1,278.0
Ireland,DomesticProduction,1,1,278.0
Ireland,DomesticProduction,2,1,278.0
Ireland,DomesticProduction,3,1,278.0
Ireland,DomesticProduction,4,1,278.0
Ireland,DomesticProduction,5,1,278.0
Ireland,DomesticProduction,6,1,278.0
Ireland,DomesticProduction,7,1,278.0
Croatia,DomesticProduction,1,1,278.0
Croatia,DomesticProduction,2,1,278.0
Croatia,DomesticProduction,3,1,278.0
Croatia,DomesticProduction,4,1,278.0
Croatia,DomesticProduction,5,1,278.0
Croatia,DomesticProduction,6,1,278.0
Croatia,DomesticProduction,7,1,278.0
Austria,DomesticProduction,1,1,278.0
Austria,DomesticProduction,2,1,278.0
Austria,DomesticProduction,3,1,278.0
Austria,DomesticProduction,4,1,278.0
