Nodes,Period,col2,col3,Power,col5,col6,Electricity_[TWh],col8,Heating_(inflexible_=_x%),Industry_(100%),Transport_(inflexible_=_y%)
Austria,1,1.0,Hungary,49.50199292778679,1.0,2025.0,3613.80698648519,,10061043.374095066,27032215.92452547,5390865.596127762
BosniaH,1,2.0,Hungary,67.91581543107759,2.0,2030.0,4190.942171769015,,1836035.1334020318,3281603.211437843,775437.1854768767
Belgium,1,3.0,Hungary,71.14425175648465,3.0,2035.0,4546.737190575673,,10711895.203661358,40827067.83151143,4588821.913543432
Bulgaria,1,4.0,Hungary,73.89212589300547,4.0,2040.0,4900.027762977078,,6306052.3332253015,10422729.40184263,1288111.701517436
Switzerland,1,5.0,Hungary,76.44235737954783,5.0,2045.0,5084.2134069733265,,9914498.463865595,26073300.07105247,5199635.010425793
CzechR,1,6.0,Hungary,78.87968858462308,6.0,2050.0,5242.034034863616,,10723655.091823405,24798233.35410024,3489220.684348483
Germany,1,7.0,Hungary,77.85000046019587,7.0,2055.0,5104.5661511277085,,60164317.52989679,239548828.35213435,65419902.207146406
Denmark,1,,,,,,,,5945579.71383595,9151087.715656139,2324784.353921738
Estonia,1,,,,,,,,1393500.6799043845,2228004.7496007364,695073.7286620102
Spain,1,,,,,,,,26833072.791938554,80510905.66979699,16204700.593825368
Finland,1,,,,,,,,18664670.9456318,39450344.674120925,3430991.361569904
France,1,,,,,,,,91409975.68288052,124202446.41157483,26970357.14767729
GreatBrit.,1,,,,,,,,29626875.391611114,94966683.38759741,22263803.79204591
Greece,1,,,,,,DHflexibility,Transportflexibility,6389601.799333046,13613235.300862724,2322741.1265091524
Croatia,1,,,,,1.0,0.05,0.3,2099326.6537386603,3729539.740847926,881283.8156932836
Hungary,1,,,,,2.0,0.1,0.35,6648057.594195669,12864706.003903173,3175560.870734935
Ireland,1,,,,,3.0,0.15000000000000002,0.39999999999999997,3130586.431976529,10739888.666447856,1306523.8575652281
Italy,1,,,,,4.0,0.2,0.44999999999999996,45505357.76986156,120725362.12707822,23516100.783998743
Lithuania,1,,,,,5.0,0.25,0.49999999999999994,1172176.174111262,3633163.266797059,3041444.083651528
Luxemb.,1,,,,,6.0,0.3,0.5499999999999999,862026.5725361694,3409661.319165296,193738.47912380658
Latvia,1,,,,,7.0,0.35,0.6,1539752.5945704628,1962275.560326866,1003974.717275085
Macedonia,1,,,,,,,,482482.3616172394,2636600.833928765,449866.6963294579
Netherlands,1,,,,,,,,11142194.188054288,37025858.363031164,4963676.913297524
NO1,1,,,,,,,,7335553.7720768,15624089.886169787,983401.733448779
NO2,1,,,,,,,,5238532.564326736,11896988.064586444,748812.8121875427
NO3,1,,,,,,,,3186717.6400852017,7579690.04056067,477076.1291824028
NO4,1,,,,,,,,2466756.567095902,5725329.624540838,360360.1309490011
NO5,1,,,,,,,,2200910.12778589,5061248.7333860155,318561.96515056054
Poland,1,,,,,,,,15994566.484778354,57097225.43764242,13474114.234877368
Portugal,1,,,,,,,,6762800.407476795,14852693.24733212,3662513.415721174
Romania,1,,,,,,,,5003951.067883118,17358910.91896932,5292508.710848178
Serbia,1,,,,,,,,658688.0842211179,6544155.931067721,1546372.7725587888
Sweden,1,,,,,,,,29540437.294218473,49173880.28465879,6010087.774263567
Slovenia,1,,,,,,,,1591738.5634913675,6625409.70001151,1181398.079691625
Slovakia,1,,,,,,,,3141131.3925933014,12354339.708734276,2040748.3744602192
Austria,2,,,,,,,,11381455.558175858,27911379.442343757,9572223.851882001
BosniaH,2,,,,,,,,2221438.9641766334,3413873.7957279556,1793401.2832751821
Belgium,2,,,,,,,,12749386.483693017,42245601.74726714,9629576.667757444
Bulgaria,2,,,,,,,,7827579.979237992,11161038.54720839,3572348.1283598007
Switzerland,2,,,,,,,,12269240.672385268,26921276.95447183,9232667.62644381
CzechR,2,,,,,,,,12854830.250512406,25794294.475594796,6556001.056288947
Germany,2,,,,,,,,77028438.12732975,246883242.52820152,117691048.6516217
Denmark,2,,,,,,,,8352909.345978406,9669814.841644686,5216823.315474937
Estonia,2,,,,,,,,2158710.347644478,2312562.6799566606,1309365.845229883
Spain,2,,,,,,,,34654510.68040925,83699321.25984055,36936901.21267053
Finland,2,,,,,,,,20605277.772882316,40228989.233403616,6416960.408376745
France,2,,,,,,,,94718315.91233425,128078669.61736223,56548819.31232363
GreatBrit.,2,,,,,,,,41793918.72126724,98326956.31282248,48787796.06747798
Greece,2,,,,,,,,7080119.009289943,14101741.421489986,5746663.889029636
Croatia,2,,,,,,,,2391118.198960491,3879865.166827445,2038199.296596815
Hungary,2,,,,,,,,8340138.777052142,13195073.270160824,6726677.852129049
Ireland,2,,,,,,,,3583611.3784265793,11194842.440137215,3174223.163255014
Italy,2,,,,,,,,60487585.36094332,124755543.19061734,44858344.67101826
Lithuania,2,,,,,,,,1726411.14586054,3793217.1224178113,5876486.348933838
Luxemb.,2,,,,,,,,1040398.6639001503,3582964.200970166,562803.6137556273
Latvia,2,,,,,,,,2485062.9413364446,2091885.5627125215,1881913.0167476889
Macedonia,2,,,,,,,,587032.7952814471,2731214.319743082,1113009.3961693025
Netherlands,2,,,,,,,,14987487.726098921,38415315.32232452,11655476.152185561
NO1,2,,,,,,,,6175575.947804156,15765697.269915214,2050823.0910299688
NO2,2,,,,,,,,4410158.620769812,12004815.231899908,1561602.5006460769
NO3,2,,,,,,,,2682799.0663044048,7648387.806898739,994912.5658699364
NO4,2,,,,,,,,2076686.0959881612,5777220.579797637,751508.6179937954
NO5,2,,,,,,,,1852878.1971677996,5107120.857576371,664341.1454680763
Poland,2,,,,,,,,25158728.725675583,60904865.93424141,30225585.79207971
Portugal,2,,,,,,,,6938540.465338166,15339931.744960362,8901573.023360146
Romania,2,,,,,,,,8487504.129989462,15878620.826870332,12633268.895842569
Serbia,2,,,,,,,,794081.204123697,6807929.237258712,3576391.4430067423
Sweden,2,,,,,,,,31257755.663066506,50138343.12223936,10913012.26736195
Slovenia,2,,,,,,,,1760560.2107788557,6789848.375907304,2503744.9458356076
Slovakia,2,,,,,,,,3649644.4238180006,12670534.474327141,4333379.814685671
Austria,3,,,,,,,,10349716.03619853,38085083.55754625,13412872.009287661
BosniaH,3,,,,,,,,2531476.6915008756,4369822.689116123,3034792.3894069036
Belgium,3,,,,,,,,12419834.758622454,54237711.67490767,14583607.2941046
Bulgaria,3,,,,,,,,7522884.140832191,12971929.116807258,6212986.329037934
Switzerland,3,,,,,,,,14444056.876239821,36734088.48906423,12937076.179370474
CzechR,3,,,,,,,,12346178.472565958,32458706.551380247,9526804.275749454
Germany,3,,,,,,,,76950519.66770314,296557997.12185067,163059692.8729913
Denmark,3,,,,,,,,8397685.5660903,12362435.259585815,8207764.186149855
Estonia,3,,,,,,,,2316535.705224872,2791516.7136162,2021220.1455266082
Spain,3,,,,,,,,33789769.3623136,98533916.71556519,60530449.66041841
Finland,3,,,,,,,,18172588.51786555,46174891.96984789,9208844.814776132
France,3,,,,,,,,82568161.96492697,152090808.6871946,83126737.17729126
GreatBrit.,3,,,,,,,,43257232.37902689,115140512.9786643,73450405.14319195
Greece,3,,,,,,,,6181791.101486519,14802219.049718417,9892091.489551945
Croatia,3,,,,,,,,2282622.577587771,4966300.411553038,3449039.415266998
Hungary,3,,,,,,,,8290387.191836115,15530856.984916136,10795793.17459872
Ireland,3,,,,,,,,3399429.843849203,12596705.988848368,4930943.027339502
Italy,3,,,,,,,,58196037.6170648,145359223.99928087,62966025.5905959
Lithuania,3,,,,,,,,1784033.1924393803,4999685.223696217,9047715.544722432
Luxemb.,3,,,,,,,,1025361.5939734553,4033164.4080376937,1104280.213533768
Latvia,3,,,,,,,,2690841.876824692,2563692.0235897624,2895674.201350127
Macedonia,3,,,,,,,,650729.3484896604,2866882.2824219083,1915892.5923361804
Netherlands,3,,,,,,,,15263811.897372175,52575233.49957955,18670737.83251848
NO1,3,,,,,,,,6846791.88040198,15737996.034904419,3196966.922433849
NO2,3,,,,,,,,4889493.464444902,11983722.082494166,2434335.5418570996
NO3,3,,,,,,,,2974389.2746480284,7634949.150525646,1550939.5119022944
NO4,3,,,,,,,,2302398.613559459,5767069.671642399,1171504.360448529
NO5,3,,,,,,,,2054265.3030205541,5098147.353094953,1035621.5885040559
Poland,3,,,,,,,,27056977.24199144,75020076.90592995,50267110.43713941
Portugal,3,,,,,,,,5333912.9139744975,18238276.70065556,13941558.79863138
Romania,3,,,,,,,,9125392.323022323,20158706.297832903,19733910.64672068
Serbia,3,,,,,,,,924416.0641518865,8714277.51198592,6051967.08288038
Sweden,3,,,,,,,,26243140.823029585,55844401.617607735,15883095.72726874
Slovenia,3,,,,,,,,1609829.5326871432,7480644.8133413335,4088441.514453989
Slovakia,3,,,,,,,,3480937.5175084225,15755140.955578756,7153647.628353215
Austria,4,,,,,,,,9390159.482864378,48258787.672748744,17574341.026678648
BosniaH,4,,,,,,,,2841514.418825118,5325771.582504289,4337904.096866776
Belgium,4,,,,,,,,11855512.962620912,66229821.6025482,20179464.51922899
Bulgaria,4,,,,,,,,7143629.128701978,14782819.686406124,8970047.197413038
Switzerland,4,,,,,,,,16618873.080094375,46546900.02365664,16950925.08949188
CzechR,4,,,,,,,,11744870.883420508,39123118.62716569,13092476.141884482
Germany,4,,,,,,,,75838458.35249895,346232751.71549976,212970283.63643822
Denmark,4,,,,,,,,8479625.683459673,15055055.677526943,12212486.002770102
Estonia,4,,,,,,,,2416117.0719047864,3270470.7472757394,2756593.484089707
Spain,4,,,,,,,,32711487.409579914,113368512.17128979,88142805.31777564
Finland,4,,,,,,,,16026152.681517899,52120794.70629217,12538164.59566209
