Node,Latitude
Austria,47.46
BosniaH,44.06
Belgium,50.72
Bulgaria,42.71
Switzerland,46.82
CzechR,49.87
Germany,51.04
Denmark,56.17
Estonia,58.79
Spain,40.31
Finland,63.9
France,46.74
GreatBrit.,52.67
Greece,39.13
Croatia,45.58
Hungary,46.99
Ireland,53.09
Italy,44.4
Lithuania,55.3
Luxemb.,49.75
Latvia,56.85
Macedonia,41.57
Netherlands,52.14
NO1,60.11
NO2,59.04
NO3,63.09
NO4,68.27
NO5,60.68
Poland,52.16
Portugal,39.74
Romania,46.01
Serbia,44.25
Sweden,62.67
Slovenia,46.07
Slovakia,48.68
MorayFirth,58.170702
FirthofForth,56.363729
DoggerBank,54.833333
Hornsea,53.820112
OuterDowsing,53.311186
Norfolk,52.782831
EastAnglia,51.890054
Borssele,51.957807
HollandseeKust,52.462704
HelgoländerBucht,54.322931
Nordsøen,56.279961
UtsiraNord,59.2762
SørligeNordsjøI,57.45006
SørligeNordsjøII,56.7461
EnergyhubEU,55.07258
Sleipner,58.3685638888888
Draupner,58.0222027777777
