Node,Longitude
Austria,14.43
BosniaH,17.81
Belgium,4.6
Bulgaria,25.25
Switzerland,8.15
CzechR,15.11
Germany,10.54
Denmark,9.22
Estonia,25.26
Spain,-3.15
Finland,26.77
France,2.52
GreatBrit.,-1.26
Greece,21.83
Croatia,16.71
Hungary,18.82
Ireland,-8.07
Italy,10.96
Lithuania,24.17
Luxemb.,6.12
Latvia,25.62
Macedonia,21.7
Netherlands,5.54
NO1,10.71
NO2,7.32
NO3,10.53
NO4,16.85
NO5,6.28
Poland,19.33
Portugal,-8.32
Romania,24.96
Serbia,20.65
Sweden,15.5
Slovenia,14.74
Slovakia,19.36
MorayFirth,-2.990229
FirthofForth,-2.047535
DoggerBank,2.333333
Hornsea,1.845196
OuterDowsing,0.905074
Norfolk,2.168638
EastAnglia,1.883496
Borssele,3.197221
HollandseeKust,4.008061
HelgoländerBucht,7.167722
Nordsøen,7.0358
UtsiraNord,4.5406
SørligeNordsjøI,3.63489
SørligeNordsjøII,4.9363
EnergyhubEU,5.6737
Sleipner,1.91053055555555
Draupner,2.47279166666666
