Nodes,StorageTypes,Period,col3,col4,col5,col6,col7
Austria,HydroPumpStorage,1,3485,https://transparency.entsoe.eu/generation/r2/installedGenerationCapacityAggregation/show,,,
Belgium,HydroPumpStorage,1,1308,,,,HydroPumpStorage
BosniaH,HydroPumpStorage,1,440,Country,Year,Unit,HydroPumpedStorage
Bulgaria,HydroPumpStorage,1,864,Austria,2024,[MW],3485
Croatia,HydroPumpStorage,1,281,Belgium,2024,[MW],1308
CzechR,HydroPumpStorage,1,1172,BosniaH,2024,[MW],440
France,HydroPumpStorage,1,5065,Bulgaria,2024,[MW],864
Germany,HydroPumpStorage,1,9449,Croatia,2024,[MW],281
GreatBrit.,HydroPumpStorage,1,0,CzechR,2024,[MW],1172
Greece,HydroPumpStorage,1,699,Denmark,2024,[MW],0
Hungary,HydroPumpStorage,1,0,Estonia,2024,[MW],0
Ireland,HydroPumpStorage,1,292,Finland,2024,[MW],0
Italy,HydroPumpStorage,1,7256,France,2024,[MW],5065
Lithuania,HydroPumpStorage,1,900,Germany,2024,[MW],9449
Luxemb.,HydroPumpStorage,1,0,Greece,2024,[MW],699
NO1,HydroPumpStorage,1,0,Hungary,2024,[MW],0
NO2,HydroPumpStorage,1,522,Ireland,2024,[MW],292
NO3,HydroPumpStorage,1,60,Italy,2024,[MW],7256
NO4,HydroPumpStorage,1,0,Latvia,2024,[MW],0
NO5,HydroPumpStorage,1,483,Lithuania,2024,[MW],900
Poland,HydroPumpStorage,1,1591,Luxemb.,2024,[MW],0
Portugal,HydroPumpStorage,1,3707,Netherlands,2024,[MW],0
Romania,HydroPumpStorage,1,0,Macedonia,2024,[MW],0
Serbia,HydroPumpStorage,1,642,NO1,2024,[MW],0
Slovakia,HydroPumpStorage,1,0,NO2,2024,[MW],522
Slovenia,HydroPumpStorage,1,180,NO3,2024,[MW],60
Spain,HydroPumpStorage,1,3418,NO4,2024,[MW],0
Sweden,HydroPumpStorage,1,0,NO5,2024,[MW],483
Switzerland,HydroPumpStorage,1,6697,Poland,2024,[MW],1591
Austria,HydroPumpStorage,2,3485,Portugal,2024,[MW],3707
Belgium,HydroPumpStorage,2,1308,Romania,2024,[MW],0
BosniaH,HydroPumpStorage,2,440,Serbia,2024,[MW],642
Bulgaria,HydroPumpStorage,2,864,Slovakia,2024,[MW],0
Croatia,HydroPumpStorage,2,281,Slovenia,2024,[MW],180
CzechR,HydroPumpStorage,2,1172,Spain,2024,[MW],3418
France,HydroPumpStorage,2,5065,Sweden,2024,[MW],0
Germany,HydroPumpStorage,2,9449,Switzerland,2024,[MW],6697
GreatBrit.,HydroPumpStorage,2,0,GreatBrit.,2024,[MW],0
Greece,HydroPumpStorage,2,699,,,,
Hungary,HydroPumpStorage,2,0,,,,
Ireland,HydroPumpStorage,2,292,,,,
Italy,HydroPumpStorage,2,7256,,,,
Lithuania,HydroPumpStorage,2,900,,,,
Luxemb.,HydroPumpStorage,2,0,,,,
NO1,HydroPumpStorage,2,0,,,,
NO2,HydroPumpStorage,2,522,,,,
NO3,HydroPumpStorage,2,60,,,,
NO4,HydroPumpStorage,2,0,,,,
NO5,HydroPumpStorage,2,483,,,,
Poland,HydroPumpStorage,2,1591,,,,
Portugal,HydroPumpStorage,2,3707,,,,
Romania,HydroPumpStorage,2,0,,,,
Serbia,HydroPumpStorage,2,642,,,,
Slovakia,HydroPumpStorage,2,0,,,,
Slovenia,HydroPumpStorage,2,180,,,,
Spain,HydroPumpStorage,2,3418,,,,
Sweden,HydroPumpStorage,2,0,,,,
Switzerland,HydroPumpStorage,2,6697,,,,
Austria,HydroPumpStorage,3,3485,,,,
Belgium,HydroPumpStorage,3,1308,,,,
BosniaH,HydroPumpStorage,3,440,,,,
Bulgaria,HydroPumpStorage,3,864,,,,
Croatia,HydroPumpStorage,3,281,,,,
CzechR,HydroPumpStorage,3,1172,,,,
France,HydroPumpStorage,3,5065,,,,
Germany,HydroPumpStorage,3,9449,,,,
GreatBrit.,HydroPumpStorage,3,0,,,,
Greece,HydroPumpStorage,3,699,,,,
Hungary,HydroPumpStorage,3,0,,,,
Ireland,HydroPumpStorage,3,292,,,,
Italy,HydroPumpStorage,3,7256,,,,
Lithuania,HydroPumpStorage,3,900,,,,
Luxemb.,HydroPumpStorage,3,0,,,,
NO1,HydroPumpStorage,3,0,,,,
NO2,HydroPumpStorage,3,522,,,,
NO3,HydroPumpStorage,3,60,,,,
NO4,HydroPumpStorage,3,0,,,,
NO5,HydroPumpStorage,3,483,,,,
Poland,HydroPumpStorage,3,1591,,,,
Portugal,HydroPumpStorage,3,3707,,,,
Romania,HydroPumpStorage,3,0,,,,
Serbia,HydroPumpStorage,3,642,,,,
Slovakia,HydroPumpStorage,3,0,,,,
Slovenia,HydroPumpStorage,3,180,,,,
Spain,HydroPumpStorage,3,3418,,,,
Sweden,HydroPumpStorage,3,0,,,,
Switzerland,HydroPumpStorage,3,6697,,,,
Austria,HydroPumpStorage,4,3485,,,,
Belgium,HydroPumpStorage,4,1308,,,,
