InterconnectorLinks,ToNode,Period,col3,InitialCap,Potential_expansion_(2030),Exponential_growth,Exp._Incl._Cap,Lowest,Highest,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Borssele,Belgium,1,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,Onshoreconnection,50000,MWtotal,,Offshorenodes,,,,,,,,,
Borssele,Belgium,2,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,Offshore-offshoreconnection,0,MW/period,,FirthofForth,#,Link,From,To,From,To,Capacity(GW),Status¹,
Borssele,Belgium,3,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,EnergyhubEU,1400,MW/period,,MorayFirth,1,NorthSeaLink,GB,NO(NO2),,,0,Constructed,1.4
Borssele,Belgium,4,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,NOgasnodes,500,MWtotal,,DoggerBank,2,VikingLink,GB,DK(W),,,0,Constructed,1.4
Borssele,Belgium,5,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,,,,,Hornsea,3,NeuConnectLink,GB,DE(NW),GreatBrit.,Germany,1.4,Underpermitting,1.4
Borssele,Belgium,6,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,,,,,OuterDowsing,4,Multiplelinks(GB–FR),GB,FR,GreatBrit.,France,5.8,Underpermitting,5.8
Borssele,Belgium,7,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,Maxexpansion,7,xexistingMW,,Norfolk,5,Avelin-Horta,FR,BE,France,Belgium,1.5,Underconsideration,1.5
Borssele,Belgium,8,1,2255.8,0.0,50000.0,50000.0,0.0,0.0,5-yeargrowthrate,0.1,Potentials,,EastAnglia,6,Vigy-Uchtelfangen,FR,DE(CS),France,Germany,3.7,Planned–notpermitted,3.7
Borssele,DoggerBank,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Annualexpansionupperlimit,Growth(comparedtop1),Min[MW],Max[MW],Borssele,7,FR–CH(unnamed),FR,CH,Switzerland,France,0.6,Underconsideration,0.6
Borssele,DoggerBank,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,HollandseeKust,8,SACOI3,FR,IT,Italy,France,0.1,Underpermitting,0.1
Borssele,DoggerBank,3,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1.6105100000000006,560,2800,HelgoländerBucht,9,Multiplelinks(IT–CH),IT,CH,Italy,Switzerland,1.7,Underpermitting,1.7
Borssele,DoggerBank,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,2.593742460100002,901.8856000000003,3500,Nordsøen,10,Multiplelinks(IT–AT),IT,AT,Italy,Austria,0.6,Underconstruction,0.6
