Node,Period,Hydrogen_demand_[MWh/yr]
Austria,1,490942.1386802525
BosniaH,1,123321.384600877
Belgium,1,1702770.793093821
Bulgaria,1,194304.63515902872
Switzerland,1,473526.9108190649
CzechR,1,508246.2157994454
Germany,1,7352605.276033766
Denmark,1,1193070.39964681
Estonia,1,34117.14620037503
Spain,1,5867279.1330282865
Finland,1,508246.2157994454
France,1,6537109.999005305
GreatBrit.,1,8004168.8615729725
Greece,1,1093267.227579423
Croatia,1,140154.6668294007
Hungary,1,167812.3652355759
Ireland,1,580654.2019732608
Italy,1,3969052.102994667
Lithuania,1,162547.3726484407
Luxemb.,1,555776.5291652038
Latvia,1,49435.74484434343
Macedonia,1,211743.14703575417
Netherlands,1,4820571.246384494
NO1,1,261805.44569020037
NO2,1,261805.44569020037
NO3,1,193929.9597644776
NO4,1,135750.97183513426
NO5,1,116357.97585868655
Poland,1,636148.8340497008
Portugal,1,1072076.4429674
Romania,1,307219.2692718201
Serbia,1,245926.85905792634
Sweden,1,2494673.1446464956
Slovenia,1,80872.78078834337
Slovakia,1,30047.5616893472
Austria,2,1397969.0922270229
BosniaH,2,312938.19574044243
Belgium,2,3652496.718797416
Bulgaria,2,507083.22621624544
Switzerland,2,1348378.8281900475
CzechR,2,1442279.801570174
Germany,2,19048571.837664858
Denmark,2,3336009.747678834
Estonia,2,92709.28829120136
Spain,2,15493639.79095514
Finland,2,1442279.801570174
France,2,17224435.11991229
GreatBrit.,2,22322713.60827632
Greece,2,2893077.223102247
Croatia,2,355654.0392742523
Hungary,2,489256.5730020633
Ireland,2,1658202.228098566
Italy,2,10083622.52999342
Lithuania,2,350272.8234485378
Luxemb.,2,1093677.004232035
Latvia,2,134335.7587339507
Macedonia,2,560328.9482969774
Netherlands,2,10859634.582485769
NO1,2,720072.2184905442
NO2,2,720072.2184905442
NO3,2,533386.8284948985
NO4,2,373370.77994642884
NO5,2,320032.09709693916
Poland,2,1672370.615031828
Portugal,2,2875479.448710437
Romania,2,785604.0467006366
Serbia,2,624059.710380143
Sweden,2,5450533.636997985
Slovenia,2,149518.5502491366
Slovakia,2,88512.90591253589
Austria,3,3076373.623410908
BosniaH,3,685753.0054669958
Belgium,3,10460114.66868856
Bulgaria,3,1124720.88797321
Switzerland,3,2967245.1876610857
CzechR,3,3092995.96861934
Germany,3,46511198.34743336
Denmark,3,7639719.452120957
Estonia,3,190553.4219632808
Spain,3,33828728.82125511
Finland,3,3092995.96861934
France,3,39971943.22802877
GreatBrit.,3,50332125.80796508
Greece,3,6114852.046434288
Croatia,3,779357.8082142575
Hungary,3,982558.5495714005
Ireland,3,3510379.973520966
Italy,3,23773909.16896486
Lithuania,3,943213.9282646741
Luxemb.,3,3559857.513869782
Latvia,3,276111.9084247938
Macedonia,3,1184319.792368381
Netherlands,3,30242501.46810391
NO1,3,1584335.902582715
NO2,3,1584335.902582715
NO3,3,1173582.1500247119
NO4,3,821507.5050172979
NO5,3,704149.290014827
Poland,3,3712569.3186276993
Portugal,3,6259857.2937539555
Romania,3,1717351.055753988
Serbia,3,1367525.0506620724
Sweden,3,15590489.88029107
Slovenia,3,478627.7984382128
Slovakia,3,171627.7219585524
Austria,4,4127167.4369043936
BosniaH,4,926452.7717226167
Belgium,4,16177770.97779772
Bulgaria,4,1508057.9100493682
Switzerland,4,3980764.1122108176
CzechR,4,4084126.327883038
Germany,4,66557745.35999056
Denmark,4,10551801.41235712
Estonia,4,247443.63317212719
Spain,4,45193204.045931846
Finland,4,4084126.327883038
France,4,55438150.43082581
GreatBrit.,4,68632776.41965877
Greece,4,8000065.425639331
Croatia,4,1052912.923206303
Hungary,4,1228026.8227646581
Ireland,4,4575059.61814555
Italy,4,33215624.48956565
Lithuania,4,1412710.0220905251
Luxemb.,4,5818265.233503021
Latvia,4,358545.8244664125
Macedonia,4,1549446.4546123426
Netherlands,4,46236793.407248795
NO1,4,2132095.2005289337
NO2,4,2132095.2005289337
NO3,4,1579329.7781203822
NO4,4,1105530.8446842672
NO5,4,947597.8668722293
Poland,4,4985721.526192849
Portugal,4,8294676.260859229
Romania,4,2275265.281087765
Serbia,4,1847527.263439701
Sweden,4,24169540.94651727
Slovenia,4,772724.6913061496
Slovakia,4,208139.1286642729
Austria,5,5364291.398709103
BosniaH,5,1294520.2625903124
Belgium,5,21476983.442579273
Bulgaria,5,2068144.987314187
Switzerland,5,5174003.48153528
CzechR,5,5335981.248815823
Germany,5,85904678.36973037
Denmark,5,14260968.904476069
Estonia,5,331869.71208834695
Spain,5,61658842.82791747
Finland,5,5335981.248815823
France,5,73168603.8111653
GreatBrit.,5,91610775.71623918
Greece,5,10971859.48301919
Croatia,5,1471221.367603452
Hungary,5,1593514.9738538
Ireland,5,6196585.817132591
Italy,5,45025065.960080735
Lithuania,5,2014323.2261423857
Luxemb.,5,6575828.557031458
Latvia,5,480879.2128160146
Macedonia,5,2125021.2181996373
Netherlands,5,62225989.46653774
NO1,5,2938822.4166905754
NO2,5,2938822.4166905754
NO3,5,2176905.493777057
NO4,5,1523833.8456439395
NO5,5,1306143.2962662342
Poland,5,6805342.160936686
Portugal,5,11277746.45603949
Romania,5,3096567.73447746
Serbia,5,2581525.525325747
Sweden,5,28574783.50368537
Slovenia,5,1127604.031052053
Slovakia,5,270556.9675537376
Austria,6,7770431.45277872
BosniaH,6,1888969.9123322598
Belgium,6,26734722.713677812
Bulgaria,6,3031444.7408493897
Switzerland,6,7494790.346285689
CzechR,6,7387710.240631778
Germany,6,121226712.8100483
Denmark,6,13152522.82088583
Estonia,6,569888.7481810566
Spain,6,78996597.17315535
Finland,6,7359692.214895678
France,6,99520666.1051143
GreatBrit.,6,119239526.16822961
Greece,6,14008054.4944705
Croatia,6,2146812.976277655
Hungary,6,2661994.9672666257
Ireland,6,7999930.977774782
Italy,6,62366647.46669737
Lithuania,6,2754104.597090225
Luxemb.,6,7142221.522956515
Latvia,6,825768.7961143511
Macedonia,6,2713069.1085241036
Netherlands,6,75582630.10683711
NO1,6,3827630.015945465
NO2,6,3827630.015945465
NO3,6,2835281.493204614
NO4,6,1984697.045243229
NO5,6,1701168.8959227684
Poland,6,11205610.15393524
Portugal,6,14963914.23725654
Romania,6,6279970.689479817
Serbia,6,3766973.9023632035
Sweden,6,33091908.820555672
Slovenia,6,1697243.353339363
Slovakia,6,764771.5208873783
Austria,7,7770431.45277872
BosniaH,7,1888969.9123322598
Belgium,7,26734722.713677812
Bulgaria,7,3031444.7408493897
Switzerland,7,7494790.346285689
CzechR,7,7387710.240631778
Germany,7,121226712.8100483
Denmark,7,13152522.82088583
Estonia,7,569888.7481810566
Spain,7,78996597.17315535
Finland,7,7359692.214895678
France,7,99520666.1051143
GreatBrit.,7,119239526.16822961
Greece,7,14008054.4944705
Croatia,7,2146812.976277655
Hungary,7,2661994.9672666257
Ireland,7,7999930.977774782
Italy,7,62366647.46669737
Lithuania,7,2754104.597090225
Luxemb.,7,7142221.522956515
Latvia,7,825768.7961143511
Macedonia,7,2713069.1085241036
Netherlands,7,75582630.10683711
NO1,7,3827630.015945465
NO2,7,3827630.015945465
NO3,7,2835281.493204614
NO4,7,1984697.045243229
NO5,7,1701168.8959227684
Poland,7,11205610.15393524
Portugal,7,14963914.23725654
Romania,7,6279970.689479817
Serbia,7,3766973.9023632035
Sweden,7,33091908.820555672
Slovenia,7,1697243.353339363
Slovakia,7,764771.5208873783
