InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
Borssele,Netherlands,8,10000
Borssele,Belgium,8,10000
EnergyhubEU,UtsiraNord,8,10000
EnergyhubEU,SørligeNordsjøII,8,10000
EnergyhubEU,SørligeNordsjøI,8,10000
EnergyhubEU,OuterDowsing,8,10000
EnergyhubEU,Norfolk,8,10000
EnergyhubEU,Nordsøen,8,10000
EnergyhubEU,NO5,8,10000
EnergyhubEU,NO2,8,10000
EnergyhubEU,Netherlands,8,10000
EnergyhubEU,MorayFirth,8,10000
EnergyhubEU,Hornsea,8,10000
EnergyhubEU,HollandseeKust,8,10000
EnergyhubEU,HelgoländerBucht,8,10000
EnergyhubEU,GreatBrit.,8,10000
EnergyhubEU,Germany,8,10000
EnergyhubEU,FirthofForth,8,10000
EnergyhubEU,EastAnglia,8,10000
EnergyhubEU,DoggerBank,8,10000
EnergyhubEU,Denmark,8,10000
EnergyhubEU,Borssele,8,10000
EnergyhubEU,Belgium,8,10000
HelgoländerBucht,Netherlands,8,10000
HelgoländerBucht,Germany,8,10000
HollandseeKust,Netherlands,8,10000
HollandseeKust,Belgium,8,10000
NO2,Draupner,8,500
NO5,Sleipner,8,500
Nordsøen,Denmark,8,10000
SørligeNordsjøI,NO2,8,10000
SørligeNordsjøII,NO2,8,10000
UtsiraNord,NO2,8,10000
