InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
Borssele,Belgium,8,50000.0
Borssele,DoggerBank,8,0.0
Borssele,EastAnglia,8,0.0
Borssele,FirthofForth,8,0.0
Borssele,Hornsea,8,0.0
Borssele,MorayFirth,8,0.0
Borssele,Netherlands,8,50000.0
Borssele,Norfolk,8,0.0
Borssele,OuterDowsing,8,0.0
Croatia,BosniaH,8,4305.0
CzechR,Austria,8,21000.0
Denmark,Germany,8,29505.0
DoggerBank,FirthofForth,8,0.0
DoggerBank,GreatBrit.,8,50000.0
DoggerBank,MorayFirth,8,0.0
EastAnglia,DoggerBank,8,0.0
EastAnglia,FirthofForth,8,0.0
EastAnglia,GreatBrit.,8,50000.0
EastAnglia,Hornsea,8,0.0
EastAnglia,MorayFirth,8,0.0
EastAnglia,Norfolk,8,0.0
EastAnglia,OuterDowsing,8,0.0
EnergyhubEU,Belgium,8,9800.0
EnergyhubEU,Borssele,8,9800.0
EnergyhubEU,Denmark,8,9800.0
EnergyhubEU,DoggerBank,8,9800.0
EnergyhubEU,EastAnglia,8,9800.0
EnergyhubEU,FirthofForth,8,9800.0
EnergyhubEU,Germany,8,9800.0
EnergyhubEU,GreatBrit.,8,9800.0
EnergyhubEU,HelgoländerBucht,8,9800.0
EnergyhubEU,HollandseeKust,8,9800.0
EnergyhubEU,Hornsea,8,9800.0
EnergyhubEU,MorayFirth,8,9800.0
EnergyhubEU,Netherlands,8,9800.0
EnergyhubEU,NO2,8,9800.0
EnergyhubEU,NO5,8,9800.0
EnergyhubEU,Nordsøen,8,9800.0
EnergyhubEU,Norfolk,8,9800.0
EnergyhubEU,OuterDowsing,8,9800.0
EnergyhubEU,SørligeNordsjøI,8,9800.0
EnergyhubEU,SørligeNordsjøII,8,9800.0
EnergyhubEU,UtsiraNord,8,9800.0
Finland,Estonia,8,7000.0
FirthofForth,GreatBrit.,8,50000.0
FirthofForth,MorayFirth,8,0.0
France,Belgium,8,18900.0
France,Germany,8,19775.0
France,Spain,8,31920.0
France,Switzerland,8,19250.0
Germany,Austria,8,24500.0
Germany,Belgium,8,7000.0
Germany,CzechR,8,19600.0
Germany,Switzerland,8,24500.0
GreatBrit.,Belgium,8,7350.0
GreatBrit.,Denmark,8,9800.0
GreatBrit.,France,8,21000.0
GreatBrit.,Germany,8,9800.0
Greece,Bulgaria,8,6300.0
HelgoländerBucht,Borssele,8,0.0
HelgoländerBucht,DoggerBank,8,0.0
HelgoländerBucht,EastAnglia,8,0.0
HelgoländerBucht,FirthofForth,8,0.0
HelgoländerBucht,Germany,8,50000.0
HelgoländerBucht,HollandseeKust,8,0.0
HelgoländerBucht,Hornsea,8,0.0
HelgoländerBucht,MorayFirth,8,0.0
HelgoländerBucht,Netherlands,8,50000.0
HelgoländerBucht,Norfolk,8,0.0
HelgoländerBucht,OuterDowsing,8,0.0
HollandseeKust,Belgium,8,50000.0
HollandseeKust,Borssele,8,0.0
HollandseeKust,DoggerBank,8,0.0
HollandseeKust,EastAnglia,8,0.0
HollandseeKust,FirthofForth,8,0.0
HollandseeKust,Hornsea,8,0.0
HollandseeKust,MorayFirth,8,0.0
HollandseeKust,Netherlands,8,50000.0
HollandseeKust,Norfolk,8,0.0
HollandseeKust,OuterDowsing,8,0.0
Hornsea,DoggerBank,8,0.0
Hornsea,FirthofForth,8,0.0
Hornsea,GreatBrit.,8,50000.0
Hornsea,MorayFirth,8,0.0
Hungary,Austria,8,11200.0
Hungary,Croatia,8,4900.0
Ireland,France,8,9800.0
Ireland,GreatBrit.,8,7000.0
Ireland,Spain,8,9800.0
Italy,Austria,8,3500.0
Italy,BosniaH,8,9800.0
Italy,Croatia,8,9800.0
Italy,France,8,28000.0
Italy,Germany,8,9800.0
Italy,Greece,8,3500.0
Italy,Switzerland,8,21175.0
Latvia,Estonia,8,9100.0
Latvia,Lithuania,8,9800.0
Luxemb.,Belgium,8,7000.0
Luxemb.,France,8,9800.0
Luxemb.,Germany,8,6860.0
Macedonia,Bulgaria,8,2800.0
Macedonia,Greece,8,7000.0
MorayFirth,GreatBrit.,8,50000.0
Netherlands,Belgium,8,21000.0
Netherlands,Denmark,8,4900.0
Netherlands,Germany,8,23975.0
Netherlands,GreatBrit.,8,7000.0
NO2,Belgium,8,9800.0
NO2,Denmark,8,11480.0
NO2,Draupner,8,500.0
NO2,Germany,8,9800.0
NO2,GreatBrit.,8,9800.0
NO2,Netherlands,8,4900.0
NO2,NO1,8,24500.0
NO3,NO1,8,3500.0
NO4,Finland,8,700.0
NO4,NO3,8,8400.0
NO5,GreatBrit.,8,9800.0
NO5,NO1,8,27300.0
NO5,NO2,8,4200.0
NO5,NO3,8,4550.0
NO5,Sleipner,8,500.0
Nordsøen,Borssele,8,0.0
Nordsøen,Denmark,8,50000.0
Nordsøen,DoggerBank,8,0.0
Nordsøen,EastAnglia,8,0.0
Nordsøen,FirthofForth,8,0.0
Nordsøen,HelgoländerBucht,8,0.0
Nordsøen,HollandseeKust,8,0.0
Nordsøen,Hornsea,8,0.0
Nordsøen,MorayFirth,8,0.0
Nordsøen,Norfolk,8,0.0
Nordsøen,OuterDowsing,8,0.0
Norfolk,DoggerBank,8,0.0
Norfolk,FirthofForth,8,0.0
Norfolk,GreatBrit.,8,50000.0
Norfolk,Hornsea,8,0.0
Norfolk,MorayFirth,8,0.0
Norfolk,OuterDowsing,8,0.0
OuterDowsing,DoggerBank,8,0.0
OuterDowsing,FirthofForth,8,0.0
OuterDowsing,GreatBrit.,8,50000.0
OuterDowsing,Hornsea,8,0.0
OuterDowsing,MorayFirth,8,0.0
Poland,CzechR,8,15400.0
Poland,Denmark,8,9800.0
